κ(m₀ω₀²)|α↓|ω→	0.1 ω₀	0.2 ω₀	0.3 ω₀	0.4 ω₀	0.5 ω₀	0.6 ω₀	0.7 ω₀	0.8 ω₀	0.9 ω₀	1.0 ω₀	1.1 ω₀	1.2 ω₀	1.3 ω₀	1.4 ω₀	1.5 ω₀	1.6 ω₀	1.7 ω₀	1.8 ω₀	1.9 ω₀	2.0 ω₀
0.1	0.00641257238643346	0.017441521275517236	0.03082429897719563	0.045620449305507904	0.06127070759344844	0.07741094139602289	0.09379383755987547	0.11024741889820788	0.12665046756268783	0.14291698974762657	0.15898596771572127	0.17481835121618694	0.1903766722322331	0.2056443900832594	0.2206085417655057	0.2352615498300974	0.2495998744377239	0.26362300589049426	0.27733270519110675	0.29073242740279426
0.2	0.013274723366310373	0.035728496200463145	0.06286120549376162	0.09278674938970344	0.12438428391360468	0.15692571948252487	0.18991979877753895	0.2230220591207166	0.255994300360479	0.28866744501518404	0.3209222611764835	0.35267533729702016	0.38386933200551354	0.41446606554766596	0.44444154640391	0.47378234256322216	0.502482903317043	0.5305435630113777	0.5579690405369888	0.5847673033678831
0.3	0.020668939129738925	0.054963350628419116	0.09622693873297095	0.1416243430950508	0.189471790803593	0.2386793833712746	0.28850876590252605	0.33845307411795744	0.3881576563148439	0.43737360427471916	0.4859265469438858	0.5336955031654114	0.5805982146714328	0.6265807799097427	0.6716102113001394	0.7156690196176729	0.7587512281551589	0.8008594103956206	0.8420024699424005	0.8821939650275112
0.4	0.02870244365216315	0.07526822861615434	0.13105518055956178	0.19227448433433159	0.25667956647600754	0.3228162800883885	0.38970883947394785	0.4566865643405231	0.5232834397129871	0.5891743205930702	0.6541330406046049	0.7180040864885697	0.7806830016974811	0.8421025733989573	0.9022229426367563	0.9610244287912231	1.0185022640062655	1.0746626915847965	1.1295200511420909	1.1830945859247528
0.5	0.03751764682654202	0.09679019783855458	0.16750063251540015	0.24489691900583987	0.3261676580583941	0.4094993274225325	0.49367927947707546	0.5778780432693136	0.6615223629969096	0.7442147827800341	0.8256809451594753	0.9057340427904155	0.984250291537478	1.0611516915002976	1.1363937207081278	1.2099564333466972	1.2818379476790227	1.352049636160089	1.4206125438608872	1.4875547034807468
0.6	0.04730835737167595	0.11970820457327441	0.20574348359564099	0.29967376008922764	0.3981178901671276	0.49890676886172924	0.6005940872564852	0.7021960458426957	0.8030366414151988	0.9026503386060734	1.0007184333076582	1.0970262455457203	1.1914336712679159	1.2838545478422123	1.3742419700658086	1.4625777024814433	1.5488644592646619	1.6331202211755258	1.7153740184649848	1.795662780930261
0.7	0.0583456995227347	0.14424249417243312	0.24599507152743771	0.35681091196709214	0.4727330279017623	0.5912357974746132	0.7106437551876565	0.8298235028138059	0.9480010767830489	1.0646473500152682	1.1794033209828658	1.2920300141767846	1.4023741273029717	1.5103440399415575	1.6158927980528404	1.7190058868640214	1.8196923461127223	1.917978252790208	2.0139019027262997	2.107510225292355
0.8	0.07102081731596216	0.17066755344208756	0.28850511945719803	0.41654674962092186	0.5502412604105651	0.6867051962143331	0.8240372959043527	0.960959320233941	1.0966042964987492	1.2303841696487154	1.3619038389630722	1.4909037242642844	1.617220527632563	1.7407599294527163	1.8614772934492638	1.9793638517762329	2.094436703250407	2.2067315041822564	2.316297085402571	2.423191463185475
0.9	0.08591724737887546	0.19933015499635953	0.3335710708123887	0.47915553160079205	0.6309004061764376	0.7855584319697373	0.9410045789361279	1.0958201724211896	1.2490501434882306	1.4000522256278973	1.5483994831825072	1.6938154757899087	1.8361301475692233	1.975249255719799	2.1111328512643333	2.243779931434702	2.373217371599841	2.499491868992969	2.622664033906389	2.742804029884251
1.0	0.10393595258686116	0.23067489149317222	0.3815506333748899	0.5449554847791596	0.7150029710536498	0.8880672889172061	1.0617990227168996	1.2346425350998191	1.405559231107576	1.5738572208186703	1.7390819450125248	1.9009438174539808	2.0592692348901256	2.213966777023879	2.3650035170208223	2.5123881970587245	2.6561591459376217	2.796375521770429	2.933110917120864	3.066448662306687
