E(ħω₀)|α↓|ω→	0.1 ω₀	0.2 ω₀	0.3 ω₀	0.4 ω₀	0.5 ω₀	0.6 ω₀	0.7 ω₀	0.8 ω₀	0.9 ω₀	1.0 ω₀	1.1 ω₀	1.2 ω₀	1.3 ω₀	1.4 ω₀	1.5 ω₀	1.6 ω₀	1.7 ω₀	1.8 ω₀	1.9 ω₀	2.0 ω₀
1.3	-2.2178063343873746	-2.285072925497996	-2.3357844505941348	-2.3769751657810465	-2.411944778334058	-2.4424668560620972	-2.46961706829028	-2.4941042193183898	-2.5164239470415333	-2.536938587081543	-2.555922321932985	-2.5735884207752115	-2.5901065451918033	-2.6056142150574892	-2.620224674251225	-2.6340324471423044	-2.6471173633162284	-2.6595475365622256	-2.671381611870802	-2.6826704887226063
1.4	-2.2386467551126086	-2.309465363230895	-2.3636679079841034	-2.4078213746310886	-2.445346088615742	-2.4781148248891167	-2.5072714329223356	-2.533572332937751	-2.557547566846404	-2.579585142228113	-2.5999789360260985	-2.6189576840498643	-2.636703437285805	-2.6533638090182463	-2.6690603863001163	-2.683894677363913	-2.697952422601398	-2.711306787272929	-2.724020770846105	-2.7361490555052255
1.5	-2.260716430707891	-2.3344149657687563	-2.3919587491742353	-2.4390107173410422	-2.4790527313956847	-2.514042000733432	-2.545185160061361	-2.5732838010654273	-2.598901094717101	-2.6224499855242733	-2.644243587869808	-2.6645258026754584	-2.6834908616255193	-2.701296321117356	-2.718071999490117	-2.7339263031666388	-2.748950816145463	-2.7632237013431977	-2.7768122688262693	-2.789774947141599
1.6	-2.2841783264446756	-2.359998298214629	-2.420693513062604	-2.4705663597807	-2.513081425282397	-2.550261319359471	-2.5833686915593015	-2.6132472925566246	-2.64049187180457	-2.6655394258795235	-2.6887217609893796	-2.71029758574154	-2.7304730666792483	-2.749415527308625	-2.7672628869533034	-2.7841303509842303	-2.8001152695656817	-2.8153007415664817	-2.8297583375890687	-2.8435501912794345
1.7	-2.3091397942514122	-2.3863077204666245	-2.449914553920377	-2.5025143137982244	-2.547450558867461	-2.5867868043731113	-2.621833225674384	-2.6534720257263507	-2.682327650930109	-2.7088600877458537	-2.733419184991323	-2.7562780368422057	-2.777654456287772	-2.7977253287059876	-2.8166365233196666	-2.834509929994032	-2.8514485762087807	-2.8675404263432465	-2.882861254660308	-2.897476853246321
1.8	-2.3356570665399046	-2.4134527176193386	-2.479671147533632	-2.534883893769588	-2.582180412420808	-2.6236336884634497	-2.6605907887648703	-2.693967813022577	-2.7244166254336353	-2.752418930203665	-2.7783418483891533	-2.802472362768149	-2.8250395955651966	-2.8462297555675367	-2.866196487368276	-2.8850682338332456	-2.9029535982080743	-2.919945330272599	-2.936123343577429	-2.9515570360837122
1.9	-2.363753580544943	-2.441558244481875	-2.5100207021687018	-2.5677082411336336	-2.6172934092843625	-2.660818548295834	-2.6996543135996816	-2.7347451089965182	-2.7667674596592433	-2.796223266822053	-2.8234960117452426	-2.8488859822706862	-2.8726332167444144	-2.8949329711615817	-2.9159464645340227	-2.9358085421643976	-2.9546332673942466	-2.972518084607549	-2.9895469740291483	-3.00579288047003
2.0	-2.393434724494467	-2.470757731489565	-2.5410299352636954	-2.6010249116889166	-2.6528143974851455	-2.6983594532978956	-2.739037724239591	-2.7758150614184816	-2.809389320909114	-2.840280786140011	-2.8688882209999633	-2.895524534793606	-2.920440224884519	-2.9438392754497533	-2.9658902492191683	-2.986734222050422	-3.006490586028955	-3.025261377549863	-3.043134561852381	-3.0601865645182356
2.1	-2.4246950712524074	-2.5011800683995746	-2.572775709268493	-2.6348765035609594	-2.688770958950185	-2.7362761275975074	-2.778756027016005	-2.8171895651661987	-2.8522919125700614	-2.884599572538311	-2.9145253208110926	-2.942393889037608	-2.9684657033371105	-2.9929531085086505	-3.016031746849798	-3.03784872909356	-3.0585286273261634	-3.0781779543575802	-3.096888568865734	-3.1147403034319154
2.2	-2.4575202908529414	-2.5329342061838958	-2.6053449626254874	-2.669311272328822	-2.725193737953707	-2.7745901226907197	-2.818825406462528	-2.8588813181886144	-2.8954855079424906	-2.92918812717107	-2.9604144676656006	-2.989500151184152	-3.016714918844258	-3.0422790535958044	-3.0663749756069487	-3.089155608285451	-3.110750535721566	-3.1312706172351836	-3.1508115025167793	-3.1694563490025276
2.3	-2.491886509875511	-2.5660979855226924	-2.638832884374736	-2.704383625695538	-2.7621167704853677	-2.8133249956687667	-2.859263324028146	-2.900903878383776	-2.9389809840644423	-2.974055388495165	-3.0065631424497674	-3.036849672559537	-3.065193326112264	-3.0918218397476047	-3.1169240677505137	-3.1406584945081555	-3.163159526845434	-3.184542224973125	-3.2049059153181316	-3.2243369889289726
2.4	-2.527759293714064	-2.6007148388970434	-2.673338397275534	-2.7401543053212905	-2.7995777798966315	-2.8525064834976392	-2.9000886158730106	-2.9432717195760443	-2.98278985450598	-3.019210751767588	-3.05297916206918	-3.0844490564646363	-3.1139065716718997	-3.141586343776072	-3.167683270440918	-3.1923611126174913	-3.2157588871488425	-3.237995692299891	-3.2591744040450896	-3.279384545939232
2.5	-2.5650936414585486	-2.6367965091362215	-2.708956552192756	-2.776689948709547	-2.8376183788207237	-2.892162657243598	-2.9413215838296276	-2.986000283875366	-3.026924299689951	-3.0646640866676003	-3.0996706895943693	-3.132305163829877	-3.162860496796946	-3.191577591507892	-3.2186569459490944	-3.244267277031012	-3.2685519731274857	-3.29163398890616	-3.3136196086652525	-3.3346013766923024
2.6	-2.6038354439899623	-2.6743282013524423	-2.7457688277437695	-2.8140616086172408	-2.8762840808584036	-2.9323240304951903	-2.982984070480341	-3.029106026480427	-3.071397192751699	-3.110425751933714	-3.1466462422676473	-3.1804251172774727	-3.212061139208349	-3.2418007580827783	-3.269849571129361	-3.2963808907331655	-3.321542210081251	-3.345460138096829	-3.3682442109682116	-3.389989870437213
2.7	-2.643924042306571	-2.7132742613799703	-2.7838339433002433	-2.8523417793130865	-2.915623979005159	-2.9730235828979863	-3.0250995050306306	-3.0726064473772308	-3.1162221182564385	-3.1565066055775195	-3.1939146965395633	-3.2288163030830868	-3.261514733240946	-3.2922611670991886	-3.321265736012646	-3.3487059435999122	-3.374733090341468	-3.3994772150228734	-3.423050932861064	-3.445552447404517
2.8	-2.685295156267938	-2.7535839163907543	-2.823182231297544	-2.8915996953035914	-2.955689901297859	-3.014296642752174	-3.0676929011021548	-3.1165201023299787	-3.16141338023783	-3.202918008841679	-3.2414852891079695	-3.277486370426746	-3.3112277080938695	-3.3429642883638877	-3.3729101413593416	-3.4012465099343645	-3.428128170891437	-3.453688344441275	-3.4780425342933077	-3.5012915569043646
