M(m₀)|α↓|ω→	0.1 ω₀	0.2 ω₀	0.3 ω₀	0.4 ω₀	0.5 ω₀	0.6 ω₀	0.7 ω₀	0.8 ω₀	0.9 ω₀	1.0 ω₀	1.1 ω₀	1.2 ω₀	1.3 ω₀	1.4 ω₀	1.5 ω₀	1.6 ω₀	1.7 ω₀	1.8 ω₀	1.9 ω₀	2.0 ω₀
0.1	1.0125919843996596	1.0127633211652376	1.0128409268507204	1.012858942273975	1.0128363955536157	1.0127850422994207	1.0127126510974547	1.01262461098781	1.0125247992473247	1.0124160854981514	1.0123006417114637	1.0121801417344798	1.012055894594177	1.01192893637356	1.0118000952253292	1.011670038426509	1.011539307110536	1.0114083423420113	1.0112775049913285	1.0111470910844336
0.2	1.0256444740963437	1.0259887431986126	1.0261420879251961	1.0261734763570869	1.0261217284305697	1.0260109298608493	1.0258570437295618	1.0256711651005228	1.0254612862847465	1.0252333262049804	1.0249917653947456	1.0247400557790394	1.0244808950599495	1.024216416188029	1.0239483216525722	1.0236779808076746	1.023406501789867	1.0231347855602457	1.0228635671240367	1.0225934473838332
0.3	1.0391862135845713	1.039705103091634	1.0399318133098172	1.0399712240913892	1.0398827671290938	1.0397034802863985	1.0394579843524783	1.0391634257860292	1.038832170945007	1.0384733834514601	1.0380940004679458	1.0376993644630383	1.0372936472281764	1.0368801432535542	1.0364614780087273	1.036039759102229	1.0356166881048483	1.035193644655012	1.0347717506524958	1.0343519198894955
0.4	1.0532487932253631	1.0539435857122428	1.0542407128385636	1.0542819950896123	1.0541483598904353	1.0538904732935541	1.0535421192844117	1.053126873160614	1.052661758241711	1.0521593958103925	1.0516293404332142	1.0510789466007033	1.0505139518153646	1.0499388808621923	1.049357333313408	1.0487721924811064	1.0481857801706644	1.0475999731789052	1.0470162922699868	1.0464359709972342
0.5	1.0678667321041244	1.0687383455215316	1.0691022637898824	1.0691383421982017	1.0689499590921114	1.068602145221815	1.068138400689948	1.0675891430073736	1.0669763620344828	1.0663163691349853	1.0656215109964144	1.0649012853603097	1.0641630936426356	1.0634127638705553	1.0626549232417877	1.061893269284916	1.0611307709146158	1.060369819917673	1.059612346721207	1.0588599099758842
0.6	1.0830778689186402	1.084126775966306	1.0845530680064654	1.0845758020873708	1.0843218427275096	1.0838713901473256	1.0832782670557468	1.0825801870270522	1.0818044459260272	1.0809712992555773	1.0800960758729516	1.0791905585538473	1.0782639177870241	1.0773233620526037	1.0763746019541987	1.0754221885251756	1.0744697643557648	1.0735202529641712	1.0725760035984042	1.0716389033200777
0.7	1.0989237893699697	1.1001499203677727	1.1006332415370124	1.1006332601263225	1.1003014524645147	1.0997340703691174	1.0989959263433235	1.0981325295971267	1.0971768550225536	1.0961533804048524	1.0950806236705024	1.0939728058026708	1.0928409788226505	1.0916938131322966	1.0905381605341213	1.0893794652258255	1.0882220692261235	1.0870694428739855	1.0859243611650817	1.0847890402739195
0.8	1.115450322009465	1.1168529476599212	1.1173868646688587	1.1173533706110748	1.1169297817496469	1.1162293716307181	1.1153286787582444	1.1142815593453768	1.1131270780964635	1.1118942400524374	1.1106049776117317	1.1092761153822328	1.1079207069615122	1.1065489702869662	1.1051689577846053	1.1037870462927148	1.1024083015393364	1.1010367534071368	1.099675606601116	1.0983274037667585
0.9	1.132708117062189	1.1342857065039313	1.134862504727977	1.1347830434761244	1.1342518238211572	1.1334002117109052	1.1323172866200857	1.1310658619781901	1.1296915456610654	1.1282282048448173	1.1267014320885627	1.12513083413349	1.1235315939692512	1.1219155665639802	1.1202920654614972	1.118668438685294	1.1170504976265387	1.115442841163789	1.113849103793117	1.11227214774706
1.0	1.1507533255006859	1.152503373828219	1.1531138262610938	1.1529740105472894	1.152317091104943	1.1512937123274114	1.1500063998545684	1.148527601599434	1.1469099700572603	1.1451926027623118	1.1434050203119217	1.1415698039849775	1.1397044017924973	1.1378223986386926	1.1359344299480518	1.1340488515431997	1.1321722390018403	1.1303097652368352	1.128465489599126	1.1266425816781651
