E(ħω₀)|α↓|ω→	0.1 ω₀	0.2 ω₀	0.3 ω₀	0.4 ω₀	0.5 ω₀	0.6 ω₀	0.7 ω₀	0.8 ω₀	0.9 ω₀	1.0 ω₀	1.1 ω₀	1.2 ω₀	1.3 ω₀	1.4 ω₀	1.5 ω₀	1.6 ω₀	1.7 ω₀	1.8 ω₀	1.9 ω₀	2.0 ω₀
0.1	-4.007684557571432	-4.013186964457898	-4.017880843902953	-4.022058102496553	-4.025857284673105	-4.029359905666224	-4.03261975177506	-4.035674983915532	-4.038554075696452	-4.041279075774808	-4.043867551368601	-4.046333819074364	-4.0486897626027165	-4.050945397475241	-4.0531092736060845	-4.055188770084509	-4.057190315994919	-4.059119559109268	-4.0609814969803315	-4.062780580356039
0.2	-4.015394973605217	-4.026421893142651	-4.035828744270204	-4.044199858861406	-4.051812714497425	-4.058830645201654	-4.0653614674587795	-4.071481703173624	-4.077248466338614	-4.082705995058207	-4.087889543853549	-4.09282784922195	-4.097544768096676	-4.102060409562736	-4.106391941854975	-4.11055418339411	-4.114560045620822	-4.118420871360345	-4.122146697820754	-4.125746464099768
0.3	-4.023131867935495	-4.039705947296731	-4.053845321628586	-4.066427272693376	-4.077868608271469	-4.088414793257529	-4.09822792615424	-4.107423097058304	-4.1160862334024975	-4.1242839090115995	-4.132069190555015	-4.139485341856184	-4.146568286145548	-4.153348307190561	-4.159851262610186	-4.166099472692326	-4.172112386485431	-4.1779070908578015	-4.183498706249433	-4.188900698981185
0.4	-4.0308958916408235	-4.053040346407321	-4.071932276947387	-4.088742445573551	-4.104027396111325	-4.118115045487548	-4.13122203455861	-4.143502236463203	-4.155070571873632	-4.16601610249043	-4.176409837078683	-4.186309678624021	-4.195763713534062	-4.204812484657319	-4.213490612884809	-4.22182798533892	-4.22985064601999	-4.23758147662953	-4.245040725964412	-4.252246427772914
0.5	-4.038687729524001	-4.066426372783701	-4.090091397873193	-4.1111475845254875	-4.130291627748712	-4.147934227354884	-4.164346836010473	-4.179722332966378	-4.194204819185533	-4.20790600272383	-4.220914969868307	-4.233304379330878	-4.245134581646873	-4.256456466643848	-4.267313495378403	-4.277743189354508	-4.287778247081708	-4.297447397782623	-4.3067760653602445	-4.315786892593778
0.6	-4.046508102865551	-4.079865376633685	-4.108324565633804	-4.133645010260402	-4.156663981682245	-4.177875303821508	-4.197605520418158	-4.216086748762345	-4.233492464975711	-4.249957188761772	-4.265588225249638	-4.280473110517922	-4.294684564540293	-4.308283915759595	-4.321323545492783	-4.333848679911506	-4.345898733933655	-4.3575083389917335	-4.368708142556193	-4.379525439486645
0.7	-4.054357772490082	-4.093358781709671	-4.126633762704247	-4.156237166314186	-4.183147275295216	-4.207941390033808	-4.23100143517949	-4.252599007555234	-4.272937161754983	-4.292173401776401	-4.310433399263001	-4.327819694759792	-4.344417487666264	-4.360298640674886	-4.375524538870557	-4.390148186288669	-4.40421577863352	-4.41776790634616	-4.430840490718299	-4.443465523268498
0.8	-4.062237542191745	-4.1069080916073	-4.145021081343971	-4.1789266292011655	-4.209744476071857	-4.238135763136655	-4.264538097220372	-4.28926280653252	-4.3125427365995606	-4.334558556316136	-4.35545445837206	-4.3753481207594875	-4.394337337315065	-4.412504604896245	-4.429920399505071	-4.446645579330294	-4.462733187865634	-4.4782298335842805	-4.493176763736761	-4.507610712672019
0.9	-4.0701482625735315	-4.120514896814811	-4.163488733133732	-4.20171611973122	-4.236458714066361	-4.26846187536979	-4.29821920629991	-4.326082029557086	-4.3523132039915735	-4.377116752625121	-4.400655551148106	-4.42306255432705	-4.444448270851513	-4.464905936248592	-4.484515208475834	-4.503344879455526	-4.521454910254114	-4.5388979887466245	-4.555720742257006	-4.571964695799573
1.0	-4.078090835365574	-4.1341808826294635	-4.18203905966428	-4.224608515663189	-4.263293295805856	-4.298923368626391	-4.332048659753843	-4.3630607617369925	-4.39225277995262	-4.41985229015687	-4.446041021043042	-4.470967350340131	-4.4947546278287644	-4.51750693713579	-4.539313213369578	-4.560250265267983	-4.580385044198747	-4.59977638128178	-4.618476340102791	-4.636531285912087
