R(r₀)|α↓|ω→	0.1 ω₀	0.2 ω₀	0.3 ω₀	0.4 ω₀	0.5 ω₀	0.6 ω₀	0.7 ω₀	0.8 ω₀	0.9 ω₀	1.0 ω₀	1.1 ω₀	1.2 ω₀	1.3 ω₀	1.4 ω₀	1.5 ω₀	1.6 ω₀	1.7 ω₀	1.8 ω₀	1.9 ω₀	2.0 ω₀
0.1	70.66767194626219	50.917477321029224	42.36542152981776	37.412299176438644	34.13724097645482	31.798927766699613	30.043524838861092	28.678440573094218	27.588958826652597	26.702083912078542	25.968954875330798	25.35530046866503	24.83706797315359	24.395895098598785	24.01806070729151	23.69297472003604	23.412323692058166	23.16948372478428	22.959107453536728	22.776827414809436
0.2	34.7537968068873	25.168859493221436	20.987379968240692	18.558164009859915	16.94938798538265	15.799737572991253	14.936199985941261	14.264548100351265	13.728458059448242	13.292085663271246	12.931417827608705	12.629711559861766	12.374906997543857	12.158079653574422	11.972472862229552	11.812870274889931	11.675175961983982	11.55612575794348	11.453084111554283	11.363898128879217
0.3	22.758084582055687	16.577920397099096	13.857084199371595	12.270718781791533	11.218183613666195	10.465225536428429	9.899371879648879	9.459091592009472	9.10763294729751	8.821555581439975	8.585141104006793	8.387421751815337	8.220492807772443	8.078501835102555	7.957016245555712	7.852612830502105	7.76260292014122	7.684843345371996	7.617603335523427	7.559468850322274
0.4	16.739188367184923	12.275814424280629	10.288481479520831	9.124816123106319	8.351050908177024	7.796867973425339	7.380090509116094	7.055679263531973	6.796670744442125	6.585842911130017	6.4116345803221	6.265971873900927	6.143031819701049	6.038500887051026	5.949110577996009	5.872335753243004	5.8061924931181705	5.749098979881726	5.699777493650584	5.657183939854582
0.5	13.108330708577782	9.68870196791564	8.14433855568638	7.235416504956441	6.629499615434542	6.194909735227284	5.867801089215998	5.613066706664314	5.409641691168779	5.24404925869286	5.107231079475146	4.992855006823907	4.896350695079452	4.814330420355092	4.744225887254982	4.684052072039085	4.632248854279161	4.587571947940853	4.5490160203177945	4.515759380494355
0.6	10.668701267040282	7.95856625666905	6.712222581356993	5.9741590085048335	5.480666900293113	5.1261125204883315	4.858981901582222	4.65083638939472	4.484566926846422	4.349206517075308	4.237373102304431	4.143900545219153	4.065056789680452	3.998073513823798	3.9408507785905194	3.891764766513246	3.8495387288802387	3.8131540361378575	3.781787436374801	3.7547658902447525
0.7	8.906765480989485	6.717613544586365	5.6867836657592905	5.071750714360635	4.659044853391137	4.361942732067362	4.137836106469247	3.9630938735792096	3.823454663322262	3.709756303057275	3.615821240983988	3.5373207003734315	3.471124359328939	3.4149083448921127	3.3669086814852243	3.32576058652655	3.290390482773853	3.2599415001377614	3.233720887012654	3.2111621287519707
0.8	7.5650615006825355	5.781870879593722	4.915325082005199	4.393523363125367	4.0418750154086425	3.788131099899103	3.5964638416354724	3.4468910649416236	3.3273084621079567	3.2299190810031457	3.1494555719495274	3.0822214365035037	3.0255404398490477	2.977423941038352	2.9363612682620466	2.901182875511245	2.8709682730965973	2.84498244425252	2.8226309213324776	2.803427400932448
0.9	6.49979044258454	5.049049747467105	4.312992906893482	3.864656491866703	3.560953906087917	3.341192390696933	3.1749194430574303	3.045033828472435	2.9411298660450416	2.8564837485749233	2.7865426686824115	2.7281060012381597	2.6788533614832204	2.637058653674947	2.601409485719036	2.570889072105369	2.5446966605644508	2.5221925114076926	2.5028589835309076	2.4862724572597874
1.0	5.623915349104357	4.457689467440146	3.828849842435493	3.440248718509074	3.1753551624601606	2.983033246134666	2.8372342981578997	2.7232050040555245	2.6319194235395296	2.5575234436667684	2.4960423801020815	2.4446763115165435	2.4013921286989555	2.364675522037269	2.3333739423777935	2.3065936856489695	2.2836304294717054	2.2639211344291734	2.247009984881731	2.232523789582783
1.1	4.881557981628708	3.968584653066565	3.4304613887903566	3.091717139422212	2.859030470616153	2.6894102744086292	2.5605181338204734	2.459565770798866	2.378677148317896	2.3127209053242606	2.2582018146121965	2.2126517589414867	2.1742752225233946	2.1417328862663263	2.114004168404191	2.090296914299046	2.0699863168778343	2.052572552141685	2.0376507383161937	2.0248892129017126
1.2	4.235920992845914	3.5554993173064657	3.0961743897227256	2.799996938705242	2.5946100067682907	2.444159090632735	2.3295096606686325	2.239556330663586	2.1674027505218025	2.1085311547804038	2.0598523320291178	2.019178611776209	1.9849150005576526	1.955869692427637	1.9311332437654243	1.9099989520720568	1.8919088750286233	1.876416315131448	1.8631591733424127	1.8518406538254706
1.3	3.6642657848487623	3.20017010745774	2.810972765685005	2.551879583107844	2.3700642019752673	2.236086879471325	2.1336423101112802	2.053096281905289	1.988403457739885	1.9355767884024568	1.8918771567943395	1.8553581558652485	1.8245969900634633	1.7985283493659605	1.7763379825761934	1.7573923077123332	1.7411905506177945	1.7273314035849068	1.7154892971693783	1.7053971896765612
1.4	3.1566043934574033	2.889466802769538	2.564103060507623	2.3379203581648342	2.1767961851679343	2.057196727270272	1.9653675228116796	1.8929848407228436	1.8347556333028647	1.7871595782725986	1.747764303121591	1.7148342060579496	1.6870966284613502	1.6635963622407959	1.6436018962287202	1.6265431301094575	1.6119688730677966	1.5995171517374427	1.5888940294850762	1.5798582134556767
1.5	2.7132649291624187	2.6137077112184235	2.3476518498526646	2.1511829711963992	2.008497279574743	1.9016222422955358	1.8191487371633153	1.7539409854457138	1.701381755316539	1.658367438292817	1.622738334176691	1.5929456159575122	1.5678493096630906	1.5465913140598153	1.5285129722327748	1.5131000041852725	1.4999447678976703	1.488719802769793	1.4791589034249883	1.471043332830546
1.6	2.336981970081515	2.365666850914211	2.1556585081901107	1.9864551469338125	1.8604317545032376	1.7649617271420106	1.690832653952263	1.6320035612318853	1.5844735385060693	1.545516284870029	1.5132177163444083	1.4861965998537099	1.4634316653662913	1.444151480770533	1.4277622871261486	1.4137994491033339	1.401894003103717	1.3917491059611746	1.3831231288880135	1.3758173071187796
1.7	2.025002683599652	2.140019520632239	1.9835448279418164	1.8397415096312617	1.7289741368587046	1.643847402641122	1.5772424377309615	1.5241431311834488	1.4811186722307086	1.4457888960230336	1.4164637009929808	1.391914003608512	1.3712259261315487	1.3537062310579082	1.3388195807809322	1.3261459473840678	1.3153510668204267	1.3061655270103933	1.2983696925908113	1.2917826537352135
1.8	1.7688577810715846	1.933102282372048	1.8277414746190466	1.7079262869768175	1.611300948397857	1.5356583029569422	1.4759065585030198	1.4280032341060567	1.3890519938272774	1.3569941602234565	1.3303462518743183	1.308018822756341	1.2891961649357038	1.2732562948164619	1.2597169739408245	1.2481986318975955	1.2383984197213378	1.230071722009043	1.2230187583882255	1.2170747193408304
1.9	1.5583313086977924	1.742855062428182	1.6854437580924262	1.5885438439684831	1.505180097389639	1.4383239495383093	1.384873316882179	1.3417233802222708	1.3064852564864682	1.2774023629120328	1.2531838972383973	1.2328698774065365	1.2157352037356552	1.2012234225996563	1.1889009868893134	1.178425335814964	1.1695222999429444	1.1619698621770522	1.155586309889948	1.1502214655565925
2.0	1.3842175256502798	1.568714643084579	1.5544585065947003	1.4796201768878106	1.4088239224580668	1.350187084607301	1.3025810839937793	1.2638151856951652	1.2319879880565996	1.2056298998408463	1.1836316342833249	1.1651543897796839	1.1495574513949283	1.13634514943874	1.1251289539888598	1.1156004285605035	1.1075117871930595	1.1006617616198868	1.094885200584486	1.0900453191524386
2.1	1.2391534744740231	1.4111497300943041	1.4331197398476105	1.3795629864849113	1.32078492282402	1.269905849562789	1.2277657107750515	1.193073944204908	1.1644024157306685	1.1405569442834516	1.1206008698911614	1.1038098309228872	1.0896223629369168	1.0775996284744966	1.0673950355966775	1.0587318425028092	1.0513867063536808	1.0451775404522035	1.0399544756429784	1.0355930652229894
2.2	1.117504516832774	1.270805673781581	1.320255940137205	1.2870866249671191	1.2398809430653392	1.1963829534548023	1.159393313362886	1.1285143737316832	1.1027816236195456	1.0812675857777347	1.0632012058077283	1.0479670881198255	1.035078777402843	1.0241509669631335	1.014876410132135	1.0070080024846595	1.0003451944053783	0.9947237438655804	0.9900079698715107	0.9860848605792202
2.3	1.0149728403772569	1.147720699425874	1.2151845538213863	1.2011634653985517	1.1651413185404256	1.128713742470456	1.096610753162966	1.069323197185169	1.0463438794358253	1.0270056045688676	1.0106974215967859	0.9969084649212759	0.985223780386358	0.9753088250252403	0.9668935046218894	0.9597586008595209	0.953724946206617	0.9486449957721592	0.9443963151559032	0.9408765481546516
2.4	0.9282079131218781	1.041080530214491	1.117690938976993	1.1209960886656458	1.0957684644295287	1.0661478167662806	1.038708701926016	1.0148236662804064	0.9944384223784656	0.9771413249937957	0.9624772244224815	0.9500361884672214	0.9394718553030749	0.9304981173783083	0.9228801692648883	0.9164251798031132	0.9109741494744658	0.9063952394383423	0.9025784462894426	0.8994313929536067
