v(ω₀)|α↓|ω→	0.1 ω₀	0.2 ω₀	0.3 ω₀	0.4 ω₀	0.5 ω₀	0.6 ω₀	0.7 ω₀	0.8 ω₀	0.9 ω₀	1.0 ω₀	1.1 ω₀	1.2 ω₀	1.3 ω₀	1.4 ω₀	1.5 ω₀	1.6 ω₀	1.7 ω₀	1.8 ω₀	1.9 ω₀	2.0 ω₀
0.1	2.1232682118345596	2.8918201243777	3.4619410261043835	3.9331467081111406	4.342940124362182	4.710166131424755	5.0458308430520145	5.356999420289728	5.648513821143298	5.923856047219884	6.1856244663884326	6.435815791287457	6.676001448229451	6.90734528674061	7.1310697956652085	7.347932395343969	7.558647771744412	7.7638215352916236	7.963971771489717	8.159545450475115
0.2	2.120858345401215	2.8885853527334273	3.458260155984288	3.929211590869001	4.338868696991911	4.706038732452465	5.041705841761348	5.352921130637219	5.6445169629453265	5.919968460979059	6.181868867327832	6.432210954866299	6.672563044143669	6.904184087505403	7.128101709306752	7.345166771845889	7.556092533783927	7.7614833906245835	7.961856384416875	8.157657581674286
0.3	2.118458308781658	2.8853545100747966	3.4545790738802413	3.925273864653531	4.3347937271179084	4.701908059215079	5.037578820423173	5.348842886135024	5.6405228823446105	5.916086933645572	6.178123057673861	6.428620004129599	6.669142917011341	6.900948187672761	7.125061339972298	7.342331487779271	7.5534704166933695	7.759081267806707	7.959680005665112	8.155711764038811
0.4	2.1160501048820444	2.882106010035391	3.4508736007286194	3.92130725111525	4.330687150264209	4.697744484827081	5.033418759712329	5.3447324087932495	5.636498150867814	5.91217697471466	6.174351558648941	6.425006533351408	6.665703785217051	6.897697075821523	7.122009769549719	7.339489181417235	7.5508455804223145	7.7566808158997835	7.957509742564069	8.153776533732149
0.5	2.113630945203429	2.8788363440281945	3.4471396736056317	3.917307242793931	4.326544101629993	4.693542858948866	5.029220284072809	5.340584148334773	5.632437085764468	5.908232803972052	6.170548521328322	6.421364648267967	6.662239727938908	6.894424819262087	7.118941064744104	7.336633927075414	7.548212112645017	7.754276139460204	7.955339718409956	8.151846032994563
0.6	2.111199929766275	2.875544242800792	3.443375715255777	3.91327201750127	4.322362574260143	4.689301044848503	5.024981175392911	5.336395847112418	5.628337425322071	5.904252185263601	6.166711759361452	6.417692231841711	6.658748712730515	6.891129481629374	7.115853393645696	7.33376400282841	7.545568404619148	7.7518657441338545	7.953168552669223	8.149918993250559
0.7	2.10875661719453	2.8722289758328614	3.4395807410116284	3.909200388555784	4.318141234600742	4.685017614351207	5.020699958083765	5.332166023393207	5.624197716912005	5.900233724518121	6.162839961392363	6.413988074675637	6.655229647085051	6.887810098482548	7.112745927654459	7.330878720919588	7.542913911955998	7.749449229333593	7.950995987296247	8.147995296262216
0.8	2.1063007190351777	2.8688899875839904	3.435753953518109	3.905091365745882	4.313878954117131	4.680691353552633	5.016375381209519	5.327893431773391	5.620016757148868	5.896176290929283	6.158932094144063	6.410251260944127	6.651681747966638	6.88446603090998	7.109618179857834	7.327977751220103	7.540248463546202	7.747026583043143	7.948822167601096	8.14607524142516
0.9	2.103832007964117	2.8655267880835233	3.4318946204843193	3.900944022630122	4.309574667628475	4.67632111316397	5.012006261690394	5.323576899903773	5.615793422680092	5.892078842195196	6.1549872225956594	6.4064809837377785	6.648104352614751	6.881096772034726	7.106469807247794	7.325060919402934	7.537572055805735	7.744597972157453	7.946647428804732	8.144159328526223
1.0	2.1013502838248805	2.862138912158489	3.4280020289718625	3.896757446585572	4.305227319739564	4.671905751789894	5.007591424828296	5.31921526662223	5.61152660623922	5.887940358805763	6.151004442658385	6.402676476336206	6.64449684846083	6.8777018756722255	7.103300538288847	7.322128133396236	7.534884778013331	7.742163666760592	7.944472219183642	8.142248179788123
1.1	2.0988553590090895	2.858725901807639	3.4240754652595293	3.8925307165544267	4.300835840717331	4.667444110283243	5.00312967740521	5.314807354071987	5.607215188006438	5.883759814825904	6.146982851545812	6.398836982282212	6.640858643054037	6.874280926166581	7.100110142632192	7.319179353007502	7.532186781866389	7.739724009546539	7.942297069387492	8.140342508993525
1.2	2.096347051477033	2.8552872975162433	3.420114204694474	3.888262891568245	4.296399133886538	4.662934998180765	4.998619793445604	5.3103519529887615	5.602858020673808	5.879536162912715	6.142921532909265	6.3949617407501185	6.637189149707069	6.870833524359193	7.096898417462646	7.316214576631734	7.529478268509874	7.737279403155244	7.940122579994576	8.138443109255991
1.3	2.093825181096348	2.8518226335591255	3.4161175059364517	3.8839530039509516	4.291916067934294	4.658377185341015	4.994060505377659	5.3058478136769205	5.598453920414718	5.8752683254882125	6.138819548363752	6.391049978521412	6.633487780037716	6.867359280721528	7.093665181213354	7.313233835561363	7.52675948339947	7.734830305536548	7.937949417342728	8.136550849213025
1.4	2.0912895675743055	2.8483314351448987	3.41208460721844	3.879600054697299	4.2873854715019935	4.653769395933596	4.989450497696975	5.301293639563209	5.594001660587441	5.870955188785992	6.13467593203243	6.387100905179056	6.629753939839773	6.8638578119737454	7.090410270952523	7.310237192089619	7.524030715103987	7.732377229403429	7.935778313540183	8.134666673548466
1.5	2.0887400292151312	2.84481321656319	3.408014723655005	3.875203009901966	4.282806128854867	4.649110303565834	4.984788401774096	5.296688081971442	5.589499966726028	5.866595598282025	6.130489686604944	6.383113709890881	6.625987026716915	6.860328739585025	7.087133541751128	7.307224739739558	7.521292296337266	7.729920743983055	7.933610068888632	8.132791605987096
1.6	2.0861763821209256	2.8412674797760995	3.4039070450388453	3.8707607977017027	4.278176776044751	4.644398526861142	4.9800727911540665	5.292029735425056	5.584947512127145	5.862188354799209	6.126259780145736	6.379087559081914	6.622186428691003	6.85677168936882	7.083834867264725	7.304196604803192	7.518544606394542	7.727461478289661	7.931445555889588	8.130926753944049
1.7	2.083598439636297	2.837693713326063	3.399760733925567	3.866272305435434	4.273496097253034	4.639632625216773	4.975302177009092	5.287317133120463	5.580342913640762	5.857732210899989	6.121985143299019	6.3750215945990805	6.618351523422058	6.8531862918040165	7.080514141158853	7.301152948823562	7.515788074630672	7.725000125515927	7.929285724439291	8.129073314418227
1.8	2.0810060119525664	2.8340913913956545	3.395574923825139	3.861736376865819	4.268762721128539	4.634811094505627	4.970475003523967	5.282548742355292	5.575684727486005	5.853225867363266	6.117664666666504	6.370914932159198	6.6144816778315425	6.849572182879136	7.077171279170494	7.298093971833143	7.513023184795814	7.722537448355259	7.927131608045047	8.12723258097673
1.9	2.078398905811118	2.8304599729241877	3.3913487174248163	3.857151809366836	4.263975217036216	4.629932362622924	4.9655896431079185	5.277722959780545	5.570971444917758	5.848667969601438	6.1132971982356	6.366766659951959	6.610576248036829	6.845929005384108	7.073806221739339	7.295019916274387	7.510250480160188	7.72007428522282	7.924984330997461	8.12540595174286
2.0	2.0757769242349466	2.8267989007806467	3.3870811847855644	3.852517351009575	4.2591320910988895	4.624994784773996	4.960644391307206	5.272838106376874	5.56620148767719	5.844057103948632	6.108881540785868	6.362575837453257	6.606634579538607	6.842256410594784	7.070418937189683	7.291931071603183	7.50747056943104	7.7176115573551645	7.922845116512987	8.123594938426876
2.1	2.0731398663138507	2.823107600941938	3.3827713614989614	3.84783169749309	4.254231782008979	4.619996638449043	4.955637461369346	5.267892422077489	5.561373203140633	5.839391793738233	6.104416449223118	6.358341494123477	6.602656007645957	6.8385540603687645	7.067009425460421	7.288827779587352	7.504684133498135	7.715150276854858	7.920715295904365	8.121801176443313
2.2	2.070487527028919	2.8193854816558552	3.3784182467455546	3.843093488898602	4.249272656535354	4.614936118009487	4.95056697837062	5.262884059970617	5.556484859109071	5.834670495130005	6.099900627803504	6.354062628376736	6.598639858149152	6.834821629661923	7.063577722445669	7.285710440369914	7.501891933084794	7.712691555747562	7.9185963188594775	8.120026436215149
2.3	2.0678196970375473	2.8156319325971118	3.3740208012631387	3.8383013062126756	4.2442530046907	4.609811328828125	4.9454309728505175	5.257811080008152	5.551534638170389	5.829891592636358	6.095332727219689	6.34973820641528	6.594585448253617	6.831058809520881	7.0601239050056765	7.282579519384638	7.499094817397816	7.710236616178669	7.916489764956126	8.118272635776387
2.4	2.0651361625410853	2.8118463239797697	3.3695779451830794	3.8334536676064177	4.239171034504409	4.604620280929407	4.9402273738774065	5.252671442158034	5.54652063158122	5.825053394303239	6.090711341533296	6.345367161337947	6.590492087811331	6.8272653106008026	7.056648096717222	7.279435555214419	7.4962937339043485	7.707786801866969	7.9143973565476085	8.116541854834546
