M(m₀)|α↓|ω→	0.1 ω₀	0.2 ω₀	0.3 ω₀	0.4 ω₀	0.5 ω₀	0.6 ω₀	0.7 ω₀	0.8 ω₀	0.9 ω₀	1.0 ω₀	1.1 ω₀	1.2 ω₀	1.3 ω₀	1.4 ω₀	1.5 ω₀	1.6 ω₀	1.7 ω₀	1.8 ω₀	1.9 ω₀	2.0 ω₀
1.1	3.942372516984303	2.16696160059675	1.7911071847609943	1.6211880609852272	1.5217023634317361	1.455151590187948	1.4068487900153333	1.369806957258968	1.3402548864208859	1.3159671581169656	1.295540038501528	1.2780410200387204	1.2628243988117815	1.2494276030516294	1.2375097111262336	1.2268133368987537	1.2171401015547945	1.2083343363149412	1.200271950410178	1.1928526411750096
1.2	5.104085641284145	2.4133502305510666	1.926359278023607	1.7162416760410055	1.5960895035076992	1.5168838609608344	1.4599784163034955	1.416669209808955	1.3823213894753679	1.3542276900921095	1.3306941219457742	1.3106026800025694	1.2931834021752038	1.2778872286011924	1.2643110920122018	1.2521517365226849	1.241176140775939	1.231201948465247	1.2220841506064373	1.2137057967781204
1.3	6.919034436449103	2.7176837430324086	2.0824703847296573	1.822556666772965	1.6777592119551537	1.5838194345138266	1.5170649062985322	1.466670448961312	1.4269548949356938	1.394635893174953	1.3676771378486918	1.3447439856680972	1.3249225440865082	1.3075642748616485	1.2921950669085343	1.278459508727344	1.2660853778699581	1.2548602490342156	1.244615636897093	1.2352159743743314
1.4	9.8062727370943	3.1007101764629543	2.264345832677949	1.9421559301493612	1.7677859398595426	1.6566152281173585	1.5785469444870448	1.5201217142026178	1.4743856476014061	1.4373678074352998	1.4066271061102968	1.380575338864775	1.3581315908550615	1.3385327287807816	1.3212233214172964	1.3057885910991873	1.2919119167944981	1.2793469699567557	1.2678989028483696	1.2574113206927338
1.5	14.317331159623254	3.5928361458685876	2.478430589091023	2.077547105838085	1.8674546833743253	1.7360376968387292	1.6449270481496792	1.5773742221989302	1.5248706193531603	1.4826180059533576	1.447695317929265	1.418216891534757	1.3929076229829669	1.3708721598951281	1.3514618645833056	1.3341943113672834	1.3187025484439432	1.3047019927062193	1.2919681757699653	1.280321390979234
1.6	21.02066990032742	4.239155449846818	2.733298541227939	2.231865593979377	1.9783116978753976	1.8229851675835094	1.71678284500299	1.638825615898622	1.5786972102804222	1.5306018985887448	1.491047825775614	1.4577995389751657	1.4293557136011856	1.4046681930503198	1.382981363732925	1.3637356278401873	1.3465069252779656	1.3309674763359602	1.316859511337246	1.3039772193698072
1.7	30.403892011605006	5.10661610120353	3.0404923244391524	2.409066062296403	2.10222930758474	1.9185154035463798	1.794780619229693	1.704927307273458	1.636187518295003	1.58155834806614	1.536867112226203	1.499466018794816	1.4675896708916136	1.440013020533148	1.415857503880152	1.394475385259736	1.3753777456362557	1.3581879915743158	1.3426108919451392	1.3284113915045086
1.8	42.88184539205778	6.292844572296584	3.415713724427495	2.6141797216463174	2.2414890086376293	2.0238797074805337	1.879691606651012	1.776193111075438	1.6977032646581158	1.6357526391329331	1.5853539572661006	1.5433721251375048	1.507732849111081	1.4770059557591133	1.4501713725971113	1.4264805863461367	1.4053709477133012	1.3864106608140887	1.3692623285869443	1.3536581191703567
1.9	58.84356983627295	7.933575509777359	3.8804797622089953	2.853659906612957	2.398888223094241	2.1405651762009974	1.9724116112756103	1.8532093969005026	1.76365147290437	1.693479844759823	1.6367295244602318	1.589688047698487	1.5499190325653684	1.5157540303581833	1.486009870981018	1.459822679096196	1.4365459130040072	1.4156853037140027	1.396855965959828	1.3797533166938922
2.0	78.67013764044012	10.201849291707559	4.464331595752729	3.135843661697421	2.5778773582734873	2.2703470548149465	2.073984612166135	1.9366470163999197	1.8344910075640692	1.755068635625996	1.6912376865501229	1.6385998446142687	1.594293396345564	1.5563726360320143	1.523466150979244	1.4945778596165962	1.4689656788241512	1.446064587979786	1.4254361903898398	1.4067346787255792
2.1	102.71503249619313	13.292022776190128	5.207536077429969	3.4715593616385676	2.7827350407354983	2.415353469443606	2.1856311206690577	2.027275287655098	1.9107400851689287	1.8208855796821515	1.7491476101583066	1.690311057250885	1.641013546740213	1.5989862118680465	1.5626400788298973	1.5308273899128373	1.502697159253247	1.4776041847105015	1.4550497400408786	1.4346417589673448
2.2	131.258552739754	17.39142246653138	6.163823934915327	3.874903287073452	3.0187899832341003	2.5781450555165653	2.30878211208874	2.1259783325212576	1.9929848705909252	1.8913399762801386	1.8107566168742149	1.7450444730109855	1.690250642855789	1.6437289768281735	1.603638723707567	1.5686579295951775	1.5378113735314018	1.5103629274781014	1.4857458167214521	1.4635160492898178
2.3	164.4546384096043	22.653734964790647	7.401955023957164	4.364177775979058	3.2926967305152943	2.7618119707940223	2.4451193534927165	2.2337740534613193	2.0818892626812935	1.966889262563985	1.8763933333485647	1.8030440392042704	1.7421905989628768	1.6907457058100017	1.646576869794766	1.608161879887207	1.5743836805577096	1.5444029740500003	1.5175761984281042	1.4934010585667956
2.4	202.29421856626286	29.183765280604764	9.00398997516277	4.962905676658181	3.6127672114087908	2.970090161354236	2.5966228122086985	2.351835985302928	2.1782059482806018	2.048045016234248	1.9464211352056795	1.8645769263775254	1.7970353642542234	1.7401925459195708	1.6915775488887264	1.6494377376102047	1.6124940176746019	1.579789969360204	1.5505953515624977	1.5243423904192805
2.5	244.60371728824242	37.030818388288345	11.058010016571757	5.700677627609227	3.9893465112725837	3.2074969616882254	2.7656254448380637	2.4815181355097082	2.2827887540142893	2.1353795552742656	2.0212418773714953	1.929935732770347	1.8550042728313263	1.7922378672970933	1.7387725892533985	1.6925904559458087	1.6522271413718024	1.6165932079804253	1.5848605415289037	1.5563878189097065
2.6	291.07936473983483	46.18704550691021	13.645009845969843	6.613334088088801	4.43519326867529	3.4794822242953414	2.954874857220175	2.624382690985315	2.3966062383202154	2.2295330975577543	2.1012998852580353	1.9994408121360867	1.916335451570079	1.847063139887941	1.7883031746878668	1.7377318077277366	1.69367286689298	1.6548857939335455	1.6204319401572225	1.589587361058179
2.7	341.34079328383945	56.59265516347477	16.823591388563223	7.741706435818806	4.9657752090958445	3.792583826971185	3.1675998320822436	2.7822300594260874	2.5207563248958147	2.3312213860355713	2.187086155232796	2.073442694316793	1.9812872667631656	1.9048638238299842	1.840320405654332	1.7849807457586564	1.7369263029708824	1.694744795224695	1.6573727281043347	1.6239933448663326
2.8	394.98343619860987	68.1493275935015	20.618844378152506	9.128111262148172	5.599315879399993	4.15456395458441	3.4075771989110923	2.957130048916204	2.6564815617440662	2.441243601812885	2.2791426766947662	2.1523245508706843	2.0501397817825104	1.9658502565106954	1.894985851740293	1.8344637531717807	1.7820880770437117	1.7362513899379943	1.695749190061256	1.659660471331316
2.9	451.6169900609971	80.73811964077423	25.02023801447329	10.81044964105322	6.356346505480892	4.574483842441671	3.679190591368698	3.151451977037549	2.8051842719020263	2.560490270363254	2.378066739430192	2.236504635869218	2.123196187139715	2.0302485137178268	1.9524720816795134	1.8863151751430292	1.8292645453143608	1.7794910001590678	1.7356308002389054	1.6966458687140022
