freq	conductivity
0.11070110701107017	-0.5350194552529182
0.2140221402214022	0.3988326848249031
0.32472324723247237	1.0992217898832681
0.4354243542435424	2.091439688715953
0.5424354243542435	2.937743190661479
0.6494464944649447	3.054474708171206
0.7601476014760148	2.762645914396887
0.8671586715867159	2.64591439688716
0.977859778597786	3.1420233463035014
1.084870848708487	4.5136186770428015
1.1918819188191883	6.060311284046692
1.3025830258302582	6.702334630350194
1.4132841328413284	6.089494163424124
1.5202952029520294	4.834630350194553
1.6273062730627306	3.754863813229573
1.7380073800738007	3.346303501945526
1.848708487084871	3.8132295719844365
1.952029520295203	4.747081712062258
2.062730627306273	5.535019455252918
2.169741697416974	5.505836575875486
2.280442804428044	4.717898832684826
2.3874538745387452	3.754863813229573
2.4944649446494465	3.1420233463035014
