Ω(THz2π)|T(K)|Imχ(ω₀/m₀)    0.47999999999999954	49.999999999999964	99.99999999999993	149.9999999999999	199.99999999999986	249.99999999999977	299.9999999999998	349.9999999999997	399.9999999999997
1.2807708589249821e-15	3.147718646415365e-22	1.9134731573215477e-18	1.775923757290669e-17	3.5698583474067594e-17	5.077811643774465e-17	6.331119227173775e-17	7.399057873702437e-17	8.332713943590186e-17	9.166456107809905e-17
0.05773853016017685	1.0985977882546193e-13	8.629576142017183e-5	0.0008006674151767624	0.0016093723813169034	0.002289156394234131	0.0028541496732684226	0.003335580905176184	0.0037564787219940693	0.004132335888848558
0.11547706032035242	2.9230732151871817e-14	0.0001727976760940062	0.0016017059870453549	0.0032189954280597262	0.004578457976737585	0.005708376877564871	0.006671197347154685	0.007512966652228629	0.008264664146342722
0.17321559048052798	1.5730194602676408e-13	0.00025971237364068116	0.0024034869513270053	0.0048291197542449	0.006868049862040929	0.008562759080676515	0.010006884782328042	0.011269472868233424	0.012396977092344127
0.23095412064070356	4.225466256867362e-15	0.0003472474373781492	0.0032063816970598134	0.006439995866459916	0.009158077038207132	0.01141737360087638	0.013342678602722311	0.015026006441426683	0.016529267024790694
0.28869265080087914	7.023243426090862e-14	0.0004356118823829578	0.0040107618340041356	0.008051874090725124	0.011448684322288932	0.014272297657714341	0.016678614046816042	0.018782576309970076	0.02066152606558784
0.3464311809610547	1.8074843367469585e-15	0.0005250166391289985	0.004816999286928855	0.009665004538745458	0.013740016121791146	0.01712760814187169	0.02001472619367584	0.022539191336979677	0.024793746375811946
0.40416971112123024	8.96456475282881e-14	0.000615675034295829	0.005625466333949964	0.011279637020494704	0.01603221669350182	0.019983381670919464	0.023351049721607266	0.026295859910332665	0.028925919371097012
0.46190824128140584	5.953454707410459e-14	0.0007078032842833739	0.006436535751359607	0.012896021014949379	0.01832542981054165	0.02283969467026526	0.026687619275540093	0.030052590545993265	0.03305803768694708
0.5196467714415813	1.9224661530141576e-14	0.0008016209845968197	0.007250580788072645	0.014514405655365584	0.020619798705834774	0.025696622897427412	0.030024469042797413	0.03380939139239897	0.03719009184193673
0.5773853016017569	2.5740923615929872e-14	0.0008973516108473061	0.0080679752941684	0.016135039459697416	0.02291546592633563	0.028554241453726023	0.03336163245179786	0.037566269795357245	0.04132207349183468
0.6351238317619324	3.929366871078386e-14	0.0009952230281860181	0.00888909380076922	0.01775817059191387	0.025212573992051093	0.031412625818847795	0.03669914338840478	0.041323233657132454	0.04545397333380756
0.692862361922108	8.38205758784194e-14	0.0010954680012199415	0.009714311538350263	0.019384046563260114	0.027511263959977612	0.034271849882684564	0.04003703440251582	0.0450802895599543	0.04958578224114623
0.7506008920822836	7.002243847046718e-15	0.001198324704684865	0.010544004522528364	0.021012914103560827	0.029811676524040036	0.037131987167960755	0.04337533768559966	0.04883744431191007	0.053717489773473834
0.8083394222424591	6.373244263432521e-14	0.0013040372879582344	0.01137854961008685	0.02264501946987532	0.03211395143067601	0.03999311067072234	0.046714085191381316	0.05259470367723299	0.057849086200576626
0.8660779524026347	8.41491432991443e-14	0.001412856378209764	0.012218324549125999	0.024280607992136865	0.03441822773538506	0.04285529243473659	0.05005330780910514	0.05635207355892341	0.06198056088416531
0.9238164825628103	5.687664219447468e-14	0.0015250396471872196	0.01306370808446938	0.025919924026357278	0.03672464299895227	0.04571860364564254	0.05339303610540733	0.060109558537172085	0.06611190250108986
0.981555012722986	1.3626001586517503e-13	0.0016408523832856495	0.013915079895456981	0.02756321118301255	0.039033334169538365	0.048583114691295816	0.05673329944133922	0.06386716337746853	0.07024309964969072
1.0392935428831616	1.799905229107142e-13	0.0017605680414687253	0.014772820737467385	0.02921071203024509	0.041344437102226586	0.05144889478835455	0.0600741271496429	0.0676248917759828	0.07437414037516406
1.0970320730433372	6.731817795206095e-14	0.0018844688538260062	0.0156373124498355	0.03086266789225493	0.04365808581034887	0.05431601206682477	0.06341554621206136	0.07138274587322621	0.07850501102522017
1.1547706032035128	1.7102513296169886e-13	0.0020128464251885814	0.01650893793644725	0.03251931904941913	0.045974413505847384	0.05718453408604742	0.06675758450351961	0.07514072882161445	0.08263569912150572
1.2125091333636884	8.888061841675075e-14	0.0021460023367330843	0.01738808130850472	0.03418090447041451	0.04829355194022098	0.06005452653104104	0.07010026833079193	0.07889884232837162	0.08676619072901579
1.2702476635238638	2.2091847597274215e-13	0.0022842487878149244	0.018275127778002054	0.035847661808233504	0.050615631304302695	0.06292605402943471	0.07344362195273177	0.08265708627804974	0.09089647082381272
1.3279861936840396	1.9700995192360734e-13	0.002427909236580206	0.01917046377069394	0.03751982744838975	0.05294077978114273	0.06579917978062838	0.07678766935612398	0.08641546026161906	0.09502652279097996
1.385724723844215	9.84031282849434e-15	0.0025773190770597082	0.02007447689065437	0.039197635496937104	0.0552691245619237	0.06867396618139805	0.08013243433770328	0.09017396427515055	0.0991563338025309
1.4434632540043906	3.3859003465608504e-14	0.002732826275339725	0.020987555938047825	0.040881319459330774	0.057600790842385265	0.071550472952597	0.08347793704210268	0.09393259455647787	0.1032858831680278
1.5012017841645662	2.2029360611209146e-13	0.0028947921142215027	0.021910090793799783	0.04257111016903601	0.059935901661517646	0.07442875947945125	0.08682419875062963	0.097691348710467	0.10741515455308863
1.5589403143247418	1.826190152834435e-14	0.0030635919001767054	0.022842472675214977	0.044267237221374274	0.06227457833309172	0.07730888273298638	0.09017123857180354	0.10145022319691978	0.11154413038663925
