Ω(THz2π)|T(K)|Reχ(ω₀/m₀)    0.47999999999999954	49.999999999999964	99.99999999999993	149.9999999999999	199.99999999999986	249.99999999999977	299.9999999999998	349.9999999999997	399.9999999999997
1.2807708589249821e-15	1.5535102057497328e-29	1.4993134404739402e-32	5.35373997583608e-33	2.9153587875394482e-33	-1.5155981532583615e-32	-9.884948815297656e-33	-4.711275357065255e-33	-3.250806614318292e-33	-2.650920870457542e-33
0.05773853016017685	-4.357247905593741e-6	-8.084581795674579e-6	-5.991003192902359e-6	-1.6589646010342065e-6	1.3350826995259771e-6	3.206404844099442e-6	4.3767265333428285e-6	5.118645608673716e-6	5.5929543617112e-6
0.11547706032035242	-1.7430656641290916e-5	-3.234130975427506e-5	-2.3960982607034077e-5	-6.632732310895573e-6	5.342658408100541e-6	1.2827276214852371e-5	1.750814292604469e-5	2.0475522389313626e-5	2.237251978862811e-5
0.17321559048052798	-3.922522332934666e-5	-7.277912630416618e-5	-5.390084938284587e-5	-1.4911906124518509e-5	1.2029733783792925e-5	2.8867700060124396e-5	3.939793813886958e-5	4.607341723518754e-5	5.034083832953302e-5
0.23095412064070356	-6.974928558095347e-5	-0.00012941292220225255	-9.579542570812241e-5	-2.6480874186546143e-5	2.1408001436553996e-5	5.133615508566824e-5	7.005238716254047e-5	8.191701161435859e-5	8.950160904811048e-5
0.28869265080087914	-0.00010901453469919074	-0.00020226351235149657	-0.00014962345534211768	-4.131767857093315e-5	3.349391431520737e-5	8.024446030289804e-5	0.00010948020331071878	0.00012801287125206295	0.00013985970019277208
0.3464311809610547	-0.000157036034468684	-0.00029135760720607807	-0.0002153575262880162	-5.9394200649632564e-5	4.830832794588426e-5	0.00011560782072958647	0.00015769237892390906	0.00018436931976545203	0.00020142176247973424
0.40416971112123024	-0.00021383224492429692	-0.00039672777151011717	-0.0002929640406901703	-8.067587205910185e-5	6.587713835963617e-5	0.00015744476603665546	0.00021470278585311112	0.0002509967115612348	0.00027419587185455944
0.46190824128140584	-0.0002794250523890758	-0.0005184123752913178	-0.0003824031691982392	-0.0001051219015570621	8.623080448439314e-5	0.0002057775780702732	0.00028052754764919523	0.0003279073193716737	0.00035819075665001254
0.5196467714415813	-0.00035383980491202863	-0.0006564555335991102	-0.0004836288152823477	-0.00013268524546347293	0.00010940437095128302	0.0002606313657568921	0.00035518527709525125	0.00041511491637275275	0.0004534177262827425
0.5773853016017569	-0.0004371053529226392	-0.0008109070354578493	-0.0005965884018357823	-0.00016331222671700344	0.00013543775247413652	0.0003220351504695465	0.00043869723626570854	0.0005126356982701264	0.0005598893011299924
0.6351238317619324	-0.0005292540970486537	-0.0009818222614390798	-0.0007212230602333477	-0.0001969430486075331	0.00016437561201169102	0.0003900210632609364	0.0005310867760714642	0.0006204870079587149	0.0006776184232493529
0.692862361922108	-0.0006303220397966366	-0.00116926210631871	-0.0008574672108873247	-0.00023351134578673358	0.00019626738908533892	0.00046462472327571603	0.0006323803930146225	0.0007386891185855882	0.0008066213835214752
0.7506008920822836	-0.0007403488467965942	-0.0013732928369685634	-0.001005248735506935	-0.00027294435269800335	0.00023116682951692562	0.000545885075587716	0.0007426063649656258	0.0008672630857749032	0.0009469128799901104
0.8083394222424591	-0.0008593779135635909	-0.0015939860297072717	-0.0011644885422846215	-0.00031516268143033893	0.00026913333565307414	0.000633844885718182	0.0008617962116095957	0.0010062322754664918	0.001098512679026493
0.8660779524026347	-0.0009874564335726373	-0.0018314183789750018	-0.0013351008633354284	-0.0003600805783744539	0.0003102296113373364	0.0007285494723365099	0.0009899831581772379	0.0011556222947035435	0.0012614396374307374
0.9238164825628103	-0.001124635484106715	-0.002085671590064178	-0.001516992780722686	-0.0004076056086922536	0.00035452492667535494	0.0008300486699869771	0.0011272036738094	0.0013154603018047063	0.001435714844014207
0.981555012722986	-0.0012709701097287048	-0.002356832202715916	-0.0017100640652112512	-0.0004576382392456592	0.0004020928281357676	0.0009383954778089644	0.001273496718381132	0.0014857753298077574	0.0016213606966039113
1.0392935428831616	-0.0014265194191121148	-0.002644991414584385	-0.0019142074197458674	-0.0005100732032976958	0.0004530107733399809	0.0010536454892389844	0.0014289027915336927	0.0016665983743861588	0.0018184009172900618
1.0970320730433372	-0.0015913466866385765	-0.002950244870940167	-0.0021293077433075687	-0.0005647976861091321	0.0005073622367753464	0.001175859023781571	0.0015934663273118967	0.001857962243210045	0.0020268610841985345
1.1547706032035128	-0.0017655194657136442	-0.0032726924617656125	-0.002355242359439088	-0.0006216923775546309	0.0005652347774739242	0.0013050986944388515	0.0017672328726917232	0.002059901531287358	0.002246767208486999
1.2125091333636884	-0.0019491097080418013	-0.003612438065655155	-0.0025918806866652724	-0.0006806307142291659	0.0006267212520488929	0.0014414318241366467	0.0019502520761601532	0.002272452566232597	0.0024781475470629657
1.2702476635238638	-0.002142193894505693	-0.003969589288289306	-0.002839083978923253	-0.0007414797521354052	0.0006919201377982611	0.0015849283437851767	0.0021425747447140556	0.002495654544961495	0.0027210325140893474
1.3279861936840396	-0.0023448531765277096	-0.00434425720668545	-0.003096705239358065	-0.0008040989599041474	0.0007609331838551888	0.0017356617014369139	0.0023442549014032004	0.0027295478912116346	0.0029754542165361018
1.385724723844215	-0.002557173522998576	-0.004736555979131332	-0.003364588834662113	-0.0008683410413525631	0.0008338690653021199	0.0018937097092756817	0.0025553494467220506	0.0029741751559640116	0.0032414419196550854
