mp_id	formula	eps_total(ϵ0)	eps_optic(ϵ0)	eps_ionic(ϵ0)	omega_LO(THz2π)	band_mass(me)	volume(Å^3)	alpha	v_gs	w_gs	v_rt	w_rt	energy_gs(meV)	energy_rt(meV)	ZPR(meV)	imag_memory	mobility(cm^2/V/s)
mp-1000	BaTe	12.773499999999999	6.311599999999999	6.461899999999998	4.078059756238319	0.38651089000000005	84.0743546603	1.4153128354995763	3.162203997691104	2.8125730466903835	10.879227378987009	9.63288090270133	-24.314309703732924	-53.56131067949762	-24.2293	11.807784612023719	61.33542409838401
mp-1002124	HfC	32.9656	24.1377	8.827900000000005	19.320870499202275	0.63744256	31.233244885599998	0.11558333891897686	3.0116214326765665	2.98573223567696	2.989207629532147	2.94711158866505	-9.243320710423138	-10.893405342391903	-9.2467	0.5422767599140411	809.8031853052399
mp-1002164	GeC	11.169499999999998	8.111	3.058499999999998	23.29836608286228	0.35093776000000004	23.8031409075	0.23765129536776938	3.0241675777847528	2.970483238665536	2.797748537128269	2.7181923657162868	-22.951526624708418	-25.93610596397817	-22.9514	0.8370246961862294	952.9566787471115
mp-10044	BAs	10.128899999999998	10.0322	0.0966999999999998	20.815453829627387	0.3261552100000001	27.1123214492	0.00683242297947417	3.000673760884559	2.9991547430826335	2.872715308674906	2.8703429418376967	-0.5878547832767319	-0.6800898762225899	-0.5887	0.028070097480565725	30575.480345023927
mp-1008223	CaSe	6.394000000000001	3.9792	2.4148000000000005	7.7945575811076795	0.30118143999999997	68.6599183215	1.0700859273110472	3.1181599376178335	2.861055807237388	5.9778994412380895	5.303324065300384	-34.96463631377908	-57.24619070158947	-34.8811	9.903703011493578	93.84598909492766
mp-1008506	BaGaSiH	23.3192	17.9636	5.355600000000001	18.32344993684225	0.4634886399999999	79.9809816704	0.11662846274870886	3.011728105130944	2.9856029267899884	3.0660555720401907	3.0223720767752122	-8.845663715642319	-10.570481921918358	-8.8478	0.5870239437439874	1028.8371077070094
mp-1008556	AlGaN2	9.319	5.1893	4.1297	23.816057579592663	0.25070049000000005	43.6980742036	0.5025399434249995	3.052410090965843	2.9367254383792027	2.828547059543497	2.658098941447228	-49.77989526523012	-56.0662045430518	-49.746	1.7884000291167201	624.3407455905455
mp-1008559	BP	9.465699999999998	9.3251	0.140599999999999	24.304177067892343	0.34739236000000007	46.1947697898	0.010922857693503898	3.001079913430768	2.9986508154165055	2.7198091191203004	2.7162958087897384	-1.097303114564946	-1.2289120471013104	-1.0981	0.03375975084051522	23868.3300170051
mp-10086	YSF	15.627399999999998	5.923900000000001	9.703499999999998	11.142336226451512	0.40755455999999995	94.4423122395	1.1498103910782815	3.128035800545036	2.8500333206198096	4.528593314902403	3.9195202711451866	-53.760768754524555	-75.99012316568295	-53.6263	10.381655525860102	66.1590344951462
mp-1008680	TiGePt	23.997	19.183199999999996	4.8138000000000005	7.738145892089839	0.57380625	51.8528951833	0.16332841004034304	3.0165006175402045	2.979796051029541	5.667805451377637	5.570233850435268	-5.235527992948624	-8.598835536503868	-5.2353	1.2761994975105801	382.25897075655223
mp-1008786	MgTe	23.206199999999995	9.1364	14.069799999999997	7.446826548203447	0.22363440999999998	51.5450493454	0.6595990180435523	3.069859661190036	2.9162620700252733	6.047323381360764	5.632931566242826	-20.477748000375243	-34.20685614718405	-20.4495	5.630337687053933	222.31484252169446
mp-1009082	MgSnAs2	18.115599999999997	15.619	2.4966000000000013	7.848575460775856	0.04870849	220.495975595	0.03986919346127669	3.004033920369371	2.995149906481354	5.555705384718514	5.5322406583973365	-1.2942571938091871	-2.1124216786456422	-1.2949	0.30482560672659303	18853.214840725796
mp-1009084	BeSnAs2	16.0096	14.1121	1.8974999999999993	8.751065765491632	0.32787076	175.450951935	0.09324338805437195	3.0093653798026403	2.9885120970658767	5.082668582737366	5.030700065625305	-3.3771469000198535	-5.258202338925465	-3.3778	0.7158651232627784	1192.6352411253354
mp-1009085	BeSiP2	10.8352	9.7255	1.1097000000000004	16.087051686837906	0.35070083999999996	131.815571075	0.08918142504418272	3.0089478933704497	2.9890086470427204	3.2807075346488057	3.2449695704938453	-5.936588839587682	-7.364237970940655	-5.9382	0.5152780907223488	1549.041477555779
mp-1009087	BeSiAs2	11.8941	10.975499999999998	0.9186000000000005	13.232615386556661	0.357604	149.955768789	0.06634930806956207	3.006650280498265	2.9918390590454815	3.701959021058858	3.6724393890349694	-3.632178141617819	-4.805745835874852	-3.6332	0.44357988074510113	1764.685519270485
mp-1009088	BeGeAs2	14.2945	13.198999999999998	1.0955	9.744641724956745	0.29724304	156.686712782	0.058165144393752054	3.0058367844350804	2.99285976864479	4.64404812404212	4.613512693297286	-2.3447709604252998	-3.4897230256889977	-2.3453	0.4367890657950932	2156.046272617439
mp-1009127	MgO	83.1972	3.7494	79.4478	17.943390387771338	0.27478564	18.2566544807	1.8077720659318506	3.2167003187103833	2.754939102635606	3.5453485843866437	2.7445650500772936	-137.38844756183602	-166.20002597138372	-136.7949	13.581848011483848	75.00472625923452
mp-1009129	MgO	13.3201	3.4585999999999997	9.861500000000001	19.445783823448384	0.30470400000000003	19.4659993157	1.5369120836126238	3.178548312488758	2.7950105385457915	3.3263460497490733	2.68997544075331	-126.07986573029444	-149.1747375928799	-125.6471	9.739150480282927	94.32836309893096
mp-1009733	Ca2Si	21.9631	14.0291	7.934000000000002	8.323541087598597	0.36929929	89.061666852	0.31109385762749564	3.0318620116237494	2.961223033647111	5.3762600484467296	5.1957436543969635	-10.746456104237991	-17.098078306936273	-10.7429	2.4936843704184763	303.96359603340096
