mp_id	formula	eps_total(ϵ0)	eps_optic(ϵ0)	eps_ionic(ϵ0)	omega_LO(THz2π)	band_mass(me)	volume(Å^3)	alpha	v_gs	w_gs	v_rt	w_rt	energy_gs(meV)	energy_rt(meV)	ZPR(meV)	imag_memory	mobility(cm^2/V/s)
mp-1000	BaTe	12.773499999999999	6.311599999999999	6.461899999999998	4.078059756238319	0.9341222500000002	84.0743546603	2.2002571264441695	3.276761396680041	2.694353561418535	11.353653369920728	9.338195090836123	-38.24275527838572	-83.95587293769931		20.872834175371192	14.35675833916034
mp-1002124	HfC	32.9656	24.1377	8.827900000000005	19.320870499202275	1.1498272900000002	31.233244885599998	0.15523548888128616	3.0156656017520564	2.9807993846359064	2.9973741388478645	2.940647854317323	-12.420502638401953	-14.639813813469585		0.7340871648072627	331.63570889991416
mp-1002164	GeC	11.169499999999998	8.111	3.058499999999998	23.29836608286228	2.7629088399999997	23.8031409075	0.6668196879816108	3.070668019303199	2.915306253305479	2.882817747869072	2.65076475313532	-64.75624406185567	-73.29563008516989		2.5664923849136674	39.47616847836765
mp-10044	BAs	10.128899999999998	10.0322	0.0966999999999998	20.815453829627387	1.3218100899999998	27.1123214492	0.013754573103662144	3.001363603638797	2.9983041787219546	2.8740371099628255	2.8692584509635246	-1.183530895765424	-1.3692615947651994		0.05658556538546919	3742.5430738838827
mp-1008223	CaSe	6.394000000000001	3.9792	2.4148000000000005	7.7945575811076795	7.398400000000001	68.6599183215	5.303632875885659	4.189051975798986	2.062793957430244	8.699650819418562	3.953255993642252	-187.38877089649162	-304.3996567381069		141.66597171361212	0.26707803777852696
mp-1008506	BaGaSiH	23.3192	17.9636	5.355600000000001	18.32344993684225	0.43996689	79.9809816704	0.11363052194656081	3.011423534757481	2.985975166388084	3.065420238381012	3.0228702035321793	-8.617962941094547	-10.298275194118053		0.5715939443562272	1113.0993164787294
mp-1008556	AlGaN2	9.319	5.1893	4.1297	23.816057579592663	3.8962812100000006	43.6980742036	1.981153573650103	3.2424844127461268	2.72855502990107	3.1887257697830784	2.4072853737163764	-200.34680429750134	-227.09169028559984		9.886875391045054	7.266615403157095
mp-1008559	BP	9.465699999999998	9.3251	0.140599999999999	24.304177067892343	0.41319184000000003	46.1947697898	0.011912475272114531	3.001178591092192	2.9985292368685914	2.719981045829137	2.7161491039200114	-1.1967340929762382	-1.3402732628812422		0.03682552236074319	18396.74030138865
mp-10086	YSF	15.627399999999998	5.923900000000001	9.703499999999998	11.142336226451512	0.82828201	94.4423122395	1.6391642182336217	3.1926623696419347	2.780043424774864	4.708818076303478	3.8051360162961894	-77.1748984162607	-109.1928421115324		16.506820611194176	20.473866607800296
mp-1008680	TiGePt	23.997	19.183199999999996	4.8138000000000005	7.738145892089839	10.74069529	51.8528951833	0.7066352451818035	3.0751901147407423	2.910063395175138	5.869627959512761	5.4329865454523265	-22.810201152039166	-37.46506814744056		6.096928265092478	4.274625267199277
mp-1008786	MgTe	23.206199999999995	9.1364	14.069799999999997	7.446826548203447	0.63441225	51.5450493454	1.1109549965567547	3.1232012307892956	2.855417940606427	6.230715227599696	5.512392452659698	-34.700358743991195	-57.958073483091425		10.330326218563176	42.71259259273848
mp-1009082	MgSnAs2	18.115599999999997	15.619	2.4966000000000013	7.848575460775856	0.16957924	220.495975595	0.07439118199979039	3.007467503381646	2.9908518985703836	5.56771936768837	5.5238456670366185	-2.415965484877679	-3.9432489716536603		0.5722301825055186	2884.6829263949417
mp-1009084	BeSnAs2	16.0096	14.1121	1.8974999999999993	8.751065765491632	1.11872929	175.450951935	0.17223809211510516	3.017413900673524	2.9786831369331885	5.10883823886291	5.012357347824871	-6.244389537729283	-9.72307023781035		1.3415045897909703	186.51954963646057
mp-1009085	BeSiP2	10.8352	9.7255	1.1097000000000004	16.087051686837906	0.30074256	131.815571075	0.08258543312095544	3.0082819109138934	2.9898257637453987	3.279200502165268	3.246123204043096	-5.497058416215414	-6.818864747392378		0.4765470575822089	1953.1735983454773
mp-1009087	BeSiAs2	11.8941	10.975499999999998	0.9186000000000005	13.232615386556661	0.22944099999999998	149.955768789	0.05314601766775959	3.0053281234804152	2.993474992062872	3.6985718451565086	3.674949868060724	-2.908909821605389	-3.8486562181296438		0.35440100819282755	3442.5127247218065
mp-1009088	BeGeAs2	14.2945	13.198999999999998	1.0955	9.744641724956745	1.1355033600000002	156.686712782	0.11368447884442812	3.0114345284693838	2.985973939129845	4.661217129420551	4.601314298437409	-4.586051531408712	-6.825908123872044		0.8625490621227377	285.8046555247216
mp-1009127	MgO	83.1972	3.7494	79.4478	17.943390387771338	1.5635001599999998	18.2566544807	4.312167476614243	3.762221098499988	2.30098806033572	4.79660138317057	2.1840944403352593	-342.54456268732224	-419.7466665694691		65.17553724929508	2.747002027334311
mp-1009129	MgO	13.3201	3.4585999999999997	9.861500000000001	19.445783823448384	2.5612801600000004	19.4659993157	4.4559313380681935	3.8118839098308523	2.2689199017215325	4.740933855089298	2.062519137173917	-384.7906120100412	-462.55810828905766		63.032609378774126	1.7338804835248038
mp-1009733	Ca2Si	21.9631	14.0291	7.934000000000002	8.323541087598597	157.31179776000002	89.061666852	6.420706927607539	5.070594945421733	1.7561029712986083	9.64892365216787	3.290783493002851	-250.567776413069	-393.2229041831385		249.1480180947902	0.007142048560216201
