α	v(ω₀)	w(ω₀)	E(ħω₀)	M(m₀)	R(r₀)	κ(m₀ω₀²)
0.1	3.010046959324598	2.987672207001033	33.64497165142997	1.0150341358148132	33.644990750972205	0.13419748085283345
0.2	3.020280437603166	2.9752198642700516	16.769356070908483	1.030519963681794	16.769378757905987	0.27016068102126667
0.3	3.030700990047928	2.9626342951969353	11.143743646818981	1.046477969349531	11.143757154274724	0.4079465240004492
0.4	3.0413196132148013	2.949916764482886	8.330616375562471	1.0629298449987	8.330625019121115	0.54761607234785
0.5	3.052143742689945	2.937064541218878	6.642475877409726	1.0798986195810092	6.642481852316066	0.6892333067561278
0.6	3.0631808286860163	2.9240744390849223	5.51682287485481	1.0974087577758869	5.516827252795631	0.832865463919747
0.7	3.074438694387309	2.91094314284836	4.71258606157205	1.1154862705012063	4.712589412619585	0.9785833046500549
0.8	3.0859255926017206	2.8976672329328275	4.109229584878909	1.134158836602552	4.109232237404856	1.1264613702616924
0.9	3.09764802915567	2.884241070775385	3.639790567973105	1.1534559809277058	3.639791052163596	1.2765767581844667
1.0	3.109621815544873	2.8706673348428096	3.264085093219682	1.1734089970309571	3.2640868830395875	1.4290168883790741
1.1	3.1218500515291923	2.856935924025888	2.956549618134314	1.1940515545719972	2.956551130284333	1.5838648702431666
1.2	3.134345209362123	2.8430450392224844	2.700136607932377	1.2154194285258353	2.700137904268942	1.7412147964037121
1.3	3.1471181483068156	2.828990632050971	2.4830449269186117	1.2375509164679155	2.4830460520519178	1.9011646431699685
1.4	3.1601803623963893	2.8147685069727952	2.2968450423331856	1.2604870072825143	2.2968460292619626	2.0638181750299154
1.5	3.1735440273972366	2.8003743145457407	2.135355149063039	1.2842716164828967	2.13535602272949	2.229285392261146
1.6	3.1872220521526753	2.7858035445787914	1.9939387470627354	1.3089518460461325	1.9939395266806235	2.397683020740553
1.7	3.201226983295511	2.7710504667142914	1.8690505795763235	1.3345783254176988	1.869050832730664	2.5691335095017855
1.8	3.2155768239163027	2.756113385757768	1.7579313891866648	1.361205261066112	1.7579320227567243	2.7437733153545096
1.9	3.2302835862547425	2.740984109669814	1.6584050715983125	1.3888913263010034	1.6584056477467868	2.921738158164376
2.0	3.245364879840949	2.7256584671056427	1.5687290759696522	1.417699515840417	1.568729602537032	3.103179124000375
2.1	3.2608382349181637	2.710131037649727	1.4874929809848079	1.4476978499202293	1.4874934644228592	3.2882557530718195
2.2	3.2767223424394016	2.694396196948112	1.413542656925641	1.478959805678747	1.4135431025964995	3.4771384433131107
2.3	3.293037151299695	2.6784481094061925	1.345924541812158	1.5115648582438943	1.3459249542094782	3.670009405058404
2.4	3.3098039752483737	2.6622807210537243	1.2838438480356367	1.5455990852018164	1.2838442309562643	3.867063716875599
2.5	3.3270448717317347	2.6458871120003424	1.2266329865661194	1.5811559064201328	1.2266331556150614	4.068508969066922
2.6	3.3447864654458823	2.629262693277349	1.173726194969407	1.618336524507628	1.1737265281673113	4.274574189169899
2.7	3.363052703280509	2.6123987943491698	1.1246424091256464	1.6572514104460871	1.1246427212331418	4.485496024325344
2.8	3.381872399905888	2.5952890646511695	1.0789684544130507	1.6980206250337007	1.0789687474998542	4.701535600147268
2.9	3.4012757179470885	2.5779262663064366	1.0363481403921022	1.7407752132163528	1.036348416262735	4.922972674983837
3.0	3.4212950992404854	2.5603029122161822	0.9964725980787762	1.7856583550821625	0.9964728583149994	5.1501091537843
3.1	3.4419654777186874	2.542411265324777	0.9590726384417225	1.8328267377186303	0.9590728844362358	5.383271307756899
3.2	3.4633245150160814	2.5242433402184217	0.9239125434575103	1.8824521072577285	0.9239127764425042	5.6228122556743205
3.3	3.485412343402382	2.5057904858511213	0.8907850806848417	1.9347231038419515	0.8907852070014707	5.869113244559685
3.4	3.508274444319878	2.4870455027981118	0.8595068457969779	1.9898468754335326	0.8595070559286677	6.122594243679636
3.5	3.5319567892006085	2.467998438022237	0.8299157437423478	2.0480521093165582	0.8299159438104238	6.383702470700071
3.6	3.556511373137478	2.448640821407812	0.8018671528683468	2.1095908492460933	0.8018673436597026	6.652931274991502
3.7	3.5819940177199	2.4289635822396014	0.7752319792510136	2.174741817885503	0.7752321614761877	6.930817059134916
3.8	3.6084653230976667	2.408957505066416	0.7498945253304444	2.243813694991886	0.7498946996293764	7.217945726782537
3.9	3.635991147794588	2.3886132743029838	0.7257507677781642	2.317148948004504	0.7257509347357687	7.514958252664183
4.0	3.6646431380268427	2.3679215315622817	0.7027068952724053	2.3951282099416424	0.7027070554233527	7.822556949450963
4.1	3.6944989312180563	2.3468726627397882	0.68067811461311	2.478175380641017	0.6806782162041861	8.141511057656016
4.2	3.7256446913746695	2.3254583183644315	0.6595873241577433	2.5667628798664075	0.6595874721246922	8.472671975917926
4.3	3.7581720163222787	2.3036686700175864	0.6393647230947851	2.6614191471004647	0.6393648105610702	8.816967563047267
4.4	3.7921824896202274	2.2814954088550805	0.6199465048726045	2.7627351853129767	0.6199465947039591	9.175426733955454
4.5	3.8277866057048824	2.2589304896996723	0.601274444443125	2.8713735942550946	0.6012745363663897	9.549183341518905
4.6	3.8651050280485264	2.235966627413491	0.5832952669298075	2.988078239538735	0.5832953607137898	9.93949011893914
4.7	3.9042695193958425	2.2125975516967205	0.5659601510144339	3.1136853655166354	0.5659602464630887	10.347732554309122
4.8	3.945423911196741	2.1888183130477645	0.5492243047845029	3.249136203360452	0.5492244017315264	10.775444231509727
4.9	3.9887248097015817	2.1646254541152605	0.533046635760942	3.3954913373335622	0.5330467042917654	11.224322250925221
