#          alpha         energy    error
0.0000000000e+00 -6.0000000e+00 0.00e+00
2.6315789474e-01 -6.0367965e+00 3.15e-06
5.2631578947e-01 -6.0738844e+00 1.20e-05
7.8947368421e-01 -6.1112196e+00 7.39e-06
1.0526315789e+00 -6.1489474e+00 1.65e-05
1.3157894737e+00 -6.1869531e+00 2.14e-05
1.5789473684e+00 -6.2253030e+00 3.17e-06
1.8421052632e+00 -6.2640178e+00 3.31e-06
2.1052631579e+00 -6.3031122e+00 3.50e-06
2.3684210526e+00 -6.3426190e+00 3.73e-06
2.6315789474e+00 -6.3825554e+00 5.04e-06
2.8947368421e+00 -6.4229560e+00 4.83e-06
3.1578947368e+00 -6.4638729e+00 6.66e-06
3.4210526316e+00 -6.5053225e+00 7.17e-06
3.6842105263e+00 -6.5473787e+00 9.25e-06
3.9473684211e+00 -6.5900933e+00 7.62e-06
4.2105263158e+00 -6.6335532e+00 7.26e-06
4.4736842105e+00 -6.6778444e+00 1.18e-05
4.7368421053e+00 -6.7231286e+00 1.28e-05
5.0000000000e+00 -6.7696011e+00 1.15e-05
