#          alpha         energy    error
0.0000000000e+00 -2.0000000e+00 0.00e+00
2.6315789474e-01 -2.0400304e+00 1.56e-06
5.2631578947e-01 -2.0825524e+00 4.04e-06
7.8947368421e-01 -2.1281534e+00 1.14e-05
1.0526315789e+00 -2.1776759e+00 7.74e-06
1.3157894737e+00 -2.2321985e+00 2.42e-05
1.5789473684e+00 -2.2931675e+00 2.59e-06
1.8421052632e+00 -2.3624436e+00 5.37e-06
2.1052631579e+00 -2.4414870e+00 8.75e-06
2.3684210526e+00 -2.5310101e+00 2.31e-05
2.6315789474e+00 -2.6306025e+00 2.39e-05
2.8947368421e+00 -2.7392178e+00 5.05e-05
3.1578947368e+00 -2.8556731e+00 7.20e-05
3.4210526316e+00 -2.9788550e+00 7.51e-05
3.6842105263e+00 -3.1080252e+00 1.10e-04
3.9473684211e+00 -3.2424262e+00 1.77e-04
4.2105263158e+00 -3.3813727e+00 2.25e-04
4.4736842105e+00 -3.5246539e+00 2.96e-04
4.7368421053e+00 -3.6718990e+00 3.45e-04
5.0000000000e+00 -3.8222446e+00 5.29e-04
