#          alpha         energy    error
0.0000000000e+00 -2.0000000e+00 0.00e+00
2.6315789474e-01 -2.0651963e+00 3.18e-06
5.2631578947e-01 -2.1325812e+00 1.07e-05
7.8947368421e-01 -2.2023944e+00 2.07e-05
1.0526315789e+00 -2.2748805e+00 2.30e-05
1.3157894737e+00 -2.3506002e+00 4.25e-05
1.5789473684e+00 -2.4296744e+00 4.85e-06
1.8421052632e+00 -2.5128339e+00 3.93e-06
2.1052631579e+00 -2.6005684e+00 7.45e-06
2.3684210526e+00 -2.6935043e+00 7.86e-06
2.6315789474e+00 -2.7922545e+00 1.08e-05
2.8947368421e+00 -2.8973347e+00 1.49e-05
3.1578947368e+00 -3.0090878e+00 2.35e-05
3.4210526316e+00 -3.1275362e+00 2.88e-05
3.6842105263e+00 -3.2524591e+00 4.07e-05
3.9473684211e+00 -3.3833722e+00 8.03e-05
4.2105263158e+00 -3.5196674e+00 7.50e-05
4.4736842105e+00 -3.6608138e+00 8.58e-05
4.7368421053e+00 -3.8063326e+00 1.55e-04
5.0000000000e+00 -3.9556813e+00 1.20e-04
