#          alpha         energy    error
0.0000000000e+00 -6.0000000e+00 0.00e+00
2.6315789474e-01 -6.0134959e+00 1.04e-06
5.2631578947e-01 -6.0270554e+00 1.55e-06
7.8947368421e-01 -6.0406669e+00 9.28e-06
1.0526315789e+00 -6.0543484e+00 2.73e-06
1.3157894737e+00 -6.0680840e+00 7.84e-06
1.5789473684e+00 -6.0819027e+00 1.23e-06
1.8421052632e+00 -6.0957872e+00 1.80e-06
2.1052631579e+00 -6.1097405e+00 2.02e-06
2.3684210526e+00 -6.1237713e+00 1.81e-06
2.6315789474e+00 -6.1378815e+00 1.99e-06
2.8947368421e+00 -6.1520682e+00 2.13e-06
3.1578947368e+00 -6.1663475e+00 2.81e-06
3.4210526316e+00 -6.1807088e+00 3.08e-06
3.6842105263e+00 -6.1951671e+00 3.92e-06
3.9473684211e+00 -6.2097179e+00 4.47e-06
4.2105263158e+00 -6.2243782e+00 4.26e-06
4.4736842105e+00 -6.2391443e+00 4.05e-06
4.7368421053e+00 -6.2540218e+00 4.74e-06
5.0000000000e+00 -6.2690259e+00 3.61e-06
