#          alpha         energy    error
0.0000000000e+00 -4.0000000e+00 0.00e+00
2.6315789474e-01 -4.0685325e+00 2.18e-06
5.2631578947e-01 -4.1383254e+00 5.81e-06
7.8947368421e-01 -4.2094234e+00 2.59e-05
1.0526315789e+00 -4.2821406e+00 1.51e-05
1.3157894737e+00 -4.3563890e+00 1.31e-05
1.5789473684e+00 -4.4326336e+00 8.34e-05
1.8421052632e+00 -4.5107520e+00 3.29e-05
2.1052631579e+00 -4.5912597e+00 4.48e-05
2.3684210526e+00 -4.6742017e+00 2.86e-05
2.6315789474e+00 -4.7601505e+00 3.77e-05
2.8947368421e+00 -4.8496917e+00 2.47e-05
3.1578947368e+00 -4.9435669e+00 9.60e-05
3.4210526316e+00 -5.0426389e+00 1.45e-04
3.6842105263e+00 -5.1473859e+00 2.78e-04
3.9473684211e+00 -5.2619610e+00 2.49e-04
4.2105263158e+00 -5.3872876e+00 6.65e-04
4.4736842105e+00 -5.5266250e+00 5.09e-04
4.7368421053e+00 -5.6785830e+00 1.37e-03
5.0000000000e+00 -5.8458990e+00 1.20e-03
