#          alpha         energy    error
0.0000000000e+00 -4.0000000e+00 0.00e+00
2.6315789474e-01 -4.0203724e+00 1.40e-06
5.2631578947e-01 -4.0411083e+00 2.22e-06
7.8947368421e-01 -4.0622574e+00 5.87e-06
1.0526315789e+00 -4.0838894e+00 1.23e-05
1.3157894737e+00 -4.1060420e+00 5.51e-06
1.5789473684e+00 -4.1287222e+00 1.81e-06
1.8421052632e+00 -4.1521188e+00 2.34e-06
2.1052631579e+00 -4.1763205e+00 2.65e-06
2.3684210526e+00 -4.2015138e+00 3.86e-06
2.6315789474e+00 -4.2279795e+00 4.17e-06
2.8947368421e+00 -4.2562263e+00 5.52e-06
3.1578947368e+00 -4.2873501e+00 7.06e-06
3.4210526316e+00 -4.3245435e+00 2.18e-05
3.6842105263e+00 -4.3813739e+00 1.43e-04
3.9473684211e+00 -4.5035961e+00 4.65e-04
4.2105263158e+00 -4.6877098e+00 9.55e-04
4.4736842105e+00 -4.8748165e+00 2.77e-03
4.7368421053e+00 -5.0695087e+00 3.18e-03
5.0000000000e+00 -5.2739580e+00 4.88e-03
