#          alpha         energy    error
0.0000000000e+00 -4.0000000e+00 0.00e+00
2.6315789474e-01 -4.0473876e+00 1.95e-06
5.2631578947e-01 -4.0956955e+00 1.90e-05
7.8947368421e-01 -4.1450554e+00 6.81e-06
1.0526315789e+00 -4.1954715e+00 7.36e-06
1.3157894737e+00 -4.2472083e+00 1.68e-05
1.5789473684e+00 -4.3000281e+00 3.28e-06
1.8421052632e+00 -4.3545773e+00 4.66e-06
2.1052631579e+00 -4.4109263e+00 4.04e-06
2.3684210526e+00 -4.4693984e+00 7.02e-06
2.6315789474e+00 -4.5304325e+00 6.61e-06
2.8947368421e+00 -4.5947009e+00 6.24e-06
3.1578947368e+00 -4.6632002e+00 1.31e-05
3.4210526316e+00 -4.7376686e+00 1.89e-05
3.6842105263e+00 -4.8213037e+00 3.33e-05
3.9473684211e+00 -4.9201889e+00 5.59e-05
4.2105263158e+00 -5.0437200e+00 1.16e-04
4.4736842105e+00 -5.1964781e+00 1.84e-04
4.7368421053e+00 -5.3729648e+00 3.61e-04
5.0000000000e+00 -5.5660113e+00 4.74e-04
