#          alpha         energy    error
0.0000000000e+00 -6.0000000e+00 0.00e+00
2.6315789474e-01 -6.0573885e+00 7.20e-06
5.2631578947e-01 -6.1152845e+00 9.19e-06
7.8947368421e-01 -6.1737959e+00 7.22e-06
1.0526315789e+00 -6.2327894e+00 8.49e-06
1.3157894737e+00 -6.2924628e+00 2.72e-05
1.5789473684e+00 -6.3527470e+00 1.61e-05
1.8421052632e+00 -6.4137232e+00 2.99e-05
2.1052631579e+00 -6.4755373e+00 5.18e-05
2.3684210526e+00 -6.5379247e+00 2.97e-05
2.6315789474e+00 -6.6013981e+00 2.84e-05
2.8947368421e+00 -6.6656683e+00 3.44e-05
3.1578947368e+00 -6.7310516e+00 3.95e-05
3.4210526316e+00 -6.7972288e+00 3.68e-05
3.6842105263e+00 -6.8650204e+00 1.68e-04
3.9473684211e+00 -6.9338857e+00 8.45e-05
4.2105263158e+00 -7.0047409e+00 1.89e-04
4.4736842105e+00 -7.0772761e+00 6.69e-05
4.7368421053e+00 -7.1515621e+00 1.36e-04
5.0000000000e+00 -7.2292525e+00 9.93e-05
