Ω(THz2π)|N|Reσ(μS)	1|-25.818452838782992meV	2|-25.849418626574153meV	3|-25.851938605446147meV	4|-25.852241573425026meV	5|-25.85228294343826meV	6|-25.852289552669724meV	7|-25.85229079473999meV	8|-25.852290889344008meV
0.01	-0.0010051114292496414	-0.016018336170859515	-0.013516616348350805	-0.018716654368629473	-0.022410061422124844	-0.01210362333835892	-0.028564597394156042	-0.02905312990802886
0.02	-0.017814439053230255	-0.017438499549980595	-0.007384709136716227	-0.014077412489777112	-0.007266397989442218	-0.001692059489079435	-0.00501736333235945	-0.006840252865467777
0.03	-0.006560368119994948	0.002465238794849404	-0.0007702697779178383	-0.0007357116218565067	-0.0014149991349251792	-0.00043297212588321114	0.0019662779926002444	0.0021052705582750137
0.04	0.010299148126786142	0.015332516357598067	0.016814207594863385	0.012035701071756163	0.008037183253504594	0.005216539767309894	0.006429844286231192	0.006270140007679883
0.05	-0.005738040477002171	-0.003203410841235454	-0.009590624962532445	-0.013458755550438009	-0.01646336547760263	-0.016700296111149773	-0.013300691053729611	-0.013249241293249664
0.06	0.006544704363903467	0.004699730139141564	0.0013267110424341594	-0.004429304425812998	-0.007188206899160386	-0.006692310508818488	-0.006712897144960809	-0.006586959930941865
0.07	0.00860536958821311	0.010159852022836788	0.008572377390702022	0.00914108321087919	0.011352151455473587	0.008970339760861033	0.008534748716265483	0.008124967198988463
0.08	-0.002349529931588588	-0.0002382683825615954	0.0007573688734933648	0.0030793799137098835	0.003971075657809322	0.002284583236817485	0.002435512897826085	0.0017389573510162165
0.09	0.004098157963775452	0.0041829599859926	0.004153502911154047	0.0061016955242719105	0.005195259872875335	0.006750227605454019	0.006910888984343634	0.005759839109608114
0.1	-0.004099501729308122	-0.00225067433943894	-0.004516289173050078	-0.007937337266211129	-0.007312113627639245	-0.005267796251067498	-0.00527586944829757	-0.0054337249367729335
0.11	0.0007039649729949628	-0.0005584661729739116	-0.0014043623441338518	-0.0014185965027450646	-0.0002645644227474336	-0.002314942421424631	-0.003380300653839367	-0.0031098739215269853
0.12	0.00292116177263157	0.0062332071526725215	0.006370927963885012	0.006044845321063098	0.005340288379966234	0.0050152527489547875	0.005297255875160688	0.005420846876143271
