T(ħω₀/kB)|N|wᵢ(ω₀)	v₁	v₂	v₃	v₄
0.0625	1.1504608864965278	3.156648932517455	16.05995062380233	122.29904184975581
0.06567228991582619	1.144903333434018	3.1421105074879545	16.03901668049727	122.17159319309941
0.06900559460461327	1.1392801289613987	3.1309634079859485	16.03107562233035	122.1417254023272
0.07250808663501017	1.133651498797903	3.1245875296277736	16.04051379521307	122.242040157919
0.0761883533877797	1.1280885185612184	3.124569468358822	16.07229799858563	122.509399685183
0.08005541811026703	1.12266950851668	3.132654196577603	16.131816789577087	122.98369083359185
0.08411876203952229	1.1174676146122045	3.1504553515367206	16.223642245596913	123.69596880988503
0.08838834764831843	1.112579454345098	3.1805217926255924	16.35659753513198	124.71890593056253
0.09287464307105929	1.1080488399957351	3.224019989584278	16.533167042744434	126.06222925424687
0.09758864776946374	1.1039320563272885	3.282960151258067	16.75995389700236	127.77610852626654
0.10254191950095475	1.1002601241968326	3.359040605728617	17.04249322698624	129.899654890377
0.10774660265587224	1.0970453934661644	3.4538517508902933	17.386391136408225	132.4719190669679
0.11321545803298834	1.0942830711417322	3.5688394676535946	17.797395123453654	135.5324185955524
0.11896189412632738	1.091954138340197	3.705240934150757	18.28138339266059	139.12113052534858
0.125	1.0900219802413305	3.863632394032499	18.842442120380376	143.25978896564234
0.13134457983165246	1.0884720443853853	4.045573971008383	19.491451558462533	148.03896772391792
0.1380111892092265	1.087244802580504	4.2499275251535025	20.22780023114701	153.4366759888636
0.14501617327002034	1.0863107574602542	4.476286317733603	21.056584133600886	159.49270971632438
0.15237670677555948	1.0856382243722162	4.723147218058234	21.979077789250155	166.21544354665585
0.16011083622053407	1.085203079748907	4.988301183497643	22.994009996112396	173.59639065818254
0.16823752407904455	1.0849904878300232	5.268968826657486	24.097320018616905	181.6086052443813
0.1767766952966368	1.0849956713695572	5.562014741554586	25.282260742253804	190.20729384763285
0.1857492861421186	1.0852188905587277	5.863753980338287	26.53673871517239	199.2987650276387
0.1951772955389275	1.0856896099512714	6.172400870272951	27.859529679009587	208.91395586911432
0.2050838390019094	1.0864161584379666	6.483831217808635	29.230069923206006	218.87551564829337
0.21549320531174432	1.0874346553454606	6.7961335658649356	30.640313892089033	229.1413958512017
0.22643091606597668	1.088784031829737	7.107464984065858	32.07995927742499	239.64074724261704
0.2379237882526549	1.090511353951647	7.416519296624435	33.540161975195936	250.3120279151839
0.2499999999999999	1.092672924090047	7.722534818671997	35.01409022585539	261.1075158328657
0.2626891596633048	1.095335772569806	8.02526153380236	36.49710740043641	271.99418474166526
0.2760223784184531	1.0985742639559128	8.324430417101288	37.98195058611498	282.89234530600316
0.2900323465400406	1.1025014533303685	8.622258833793461	39.48377000786939	293.98989026141606
0.3047534135511187	1.107216232718381	8.91839509319145	40.99053406057744	305.1200078893818
0.32022167244106803	1.1128637755282929	9.214900584017627	42.51236244208577	316.38157086834866
0.3364750481580891	1.1196120204920001	9.513705241331248	44.05658137071764	327.8271585409709
0.3535533905932737	1.1276622789269064	9.81706674889028	45.63238876721903	339.5231879791114
0.3714985722842371	1.1372543155519557	10.12752334337545	47.250527660374104	351.54754436588445
0.3903545910778549	1.1486711738315172	10.447842237205688	48.92293485826095	363.98699913880034
0.41016767800381904	1.1622266356415092	10.78008430945112	50.65280395624881	376.80638725193756
0.43098641062348875	1.1783512451078195	11.129955992947052	52.48217976869043	390.4871344473668
0.4528618321319532	1.1974267554940845	11.497944900623096	54.39582824321818	404.74326258579464
0.4758475765053096	1.2199508645518484	11.888082558515244	56.41683002352343	419.80138534182913
0.5000000000000001	1.2464493019539788	12.303495810112985	58.55847824483092	435.7584746877532
0.5253783193266097	1.2774845420493133	12.74725190185142	60.83373065867968	452.7090851378626
0.5520447568369061	1.3136448538616121	13.222330111086354	63.25512885926222	470.7447841533538
0.5800646930800811	1.3555310316837144	13.731602032137113	65.83476580597679	489.9539523616697
0.6095068271022377	1.4036816153805742	14.276018354162073	68.5651011572357	510.1620542197716
0.6404433448821363	1.458860086059295	14.86360926122545	71.51488909288543	532.2302283424937
0.6729500963161777	1.5214396709444713	15.491482693763968	74.63746780262044	555.4593859584406
0.7071067811865472	1.591996723521301	16.163839819014402	77.962587399178	580.1869169354391
0.7429971445684742	1.6710040015177763	16.882990007462592	81.50062501235625	606.4893186052101
0.7807091821557101	1.7588898074452495	17.651172837499807	85.2618550892065	634.4424834207028
0.8203353560076376	1.8560408094568939	18.470583263469237	89.25655219217131	664.1224569252787
0.8619728212469775	1.9628081262627994	19.34340006662837	93.49510497181836	695.6063088927933
0.9057236642639067	2.079346532462411	20.268008845037244	97.94833310704932	728.4316614327594
0.9516951530106194	2.206468841541826	21.258047135161217	102.74640909108926	764.3018963189361
0.9999999999999998	2.343966275016467	22.30440648348209	107.78139786962366	801.6790157141246
1.0507566386532188	2.4923071683022187	23.413280374149807	113.10487056196258	841.1916429028574
1.1040895136738125	2.6518009425110294	24.587178094663933	118.72923935540351	882.9320959554959
1.1601293861601623	2.8227744945103272	25.828748205761368	124.66758634828648	926.9976696787489
1.2190136542044752	3.0055785112697992	27.140797938098782	130.93373727724	973.4911706131891
1.2808866897642717	3.200592737725731	28.526311902264663	137.542345549382	1022.5216486035964
1.345900192632356	3.407867005051331	29.980951174659392	144.4303393027538	1073.1287335616555
1.414213562373095	3.6289389914048593	31.530617470936626	151.84974037312756	1128.6593806459814
1.4859942891369482	3.8632090538938257	33.15638376199573	159.58240193049213	1186.0184777676031
1.5614183643114197	4.111569769074702	34.86957662022287	167.7252661359364	1246.417515259479
