α|N|κ(m₀ω₀²)	N=1|κ₁	N=2|κ₁	N=2|κ₂	N=3|κ₁	N=3|κ₂	N=3|κ₃	N=4|κ₁	N=4|κ₂	N=4|κ₃	N=4|κ₄	N=5|κ₁	N=5|κ₂	N=5|κ₃	N=5|κ₄	N=5|κ₅	N=6|κ₁	N=6|κ₂	N=6|κ₃	N=6|κ₄	N=6|κ₅	N=6|κ₆
0.1	0.13419748085283345	0.05687110678519591	0.3647695050910045	0.03464635161345253	0.15790029340057998	0.7082781891735976	0.02426452485649655	0.09872541546249636	0.29369104070639196	1.2344399168141535	0.018334822795960104	0.07086671570715808	0.18002533244765573	0.4890196652600025	2.021673517447198	0.014545330113738597	0.05476458499392045	0.1281733829226539	0.2911188596201555	0.7714017035468714	3.1727565069450065
0.19999999999999965	0.27016068102126667	0.11480343102772439	0.7305528102689323	0.0699691190083942	0.31708815522598854	1.4162118567553534	0.04898096380218364	0.19865944723666829	0.587927776775075	2.46729445611345	0.036981337637289835	0.14281374479366882	0.3608211340347225	0.9778677300864729	4.04032682615798	0.029307885239197917	0.11047138541846735	0.25716303821384656	0.5823924308699588	1.5417227519355947	6.339446653495543
0.3000000000000006	0.4079465240004492	0.17383701831281284	1.0973844429490498	0.10599383172416132	0.47760140830971665	2.123815907917333	0.07416547985944355	0.2998418948074999	0.8827319466101926	3.698597519978648	0.055950504404764345	0.21588312753718242	0.5424192482400088	1.4665852230127712	6.0561188860592665	0.044299081024877784	0.16717578457699922	0.3870406000444291	0.8739562288271827	2.3113399645753816	9.50184765609447
0.40000000000000024	0.54761607234785	0.23401405753811133	1.4653004322637457	0.14274726622595546	0.6394789859726231	2.831102759364512	0.09983449209983553	0.40231219166370735	1.178118583328569	4.9283444583452365	0.07525215849589095	0.29011308765185717	0.7248378663649362	1.9551736052276283	8.069022910640342	0.05952446505893061	0.2249128284986881	0.5178246807682996	1.1658104720993379	3.080234181781634	12.659873112221248
0.4999999999999999	0.6892333067561278	0.2953790596496062	1.8343386286697125	0.1802576741207207	0.8027617008343171	3.5380860743618996	0.1260052765148676	0.5061118445044777	1.4741039889900662	6.156533946876152	0.09489663947257188	0.3655441432505704	0.9080968795811231	2.443637295089502	10.079027780739125	0.0749904857902639	0.28372183139832785	0.6495401962942822	1.457970285804663	3.848428850145865	15.813607629854232
0.5999999999999995	0.832865463919747	0.3579790205905118	2.204538812503529	0.21855487859117506	0.9674923239067397	4.24478062751723	0.15269598883676627	0.6112844302493414	1.7707053269842277	7.383165528350219	0.1148947548220689	0.44221902943296243	1.0922174065688495	2.93198169997504	12.086123681030585	0.09070272287126935	0.34364135093788306	0.7822077089269044	1.7504338223781133	4.615895119399283	18.962966132094152
0.7000000000000005	0.9785833046500549	0.4218636269350089	2.5759430201899534	0.2576705254727689	1.1337163558864987	4.951205956039075	0.17992631750351107	0.7178780881126059	2.0679486694752995	8.608281959535816	0.13525957911484943	0.5201891000931802	1.2772376510837233	3.4202583185633557	14.090517300719512	0.10666824374839168	0.40471513244122725	0.9158531095107207	2.043212634216843	5.382629209503648	22.10782262426801
0.8000000000000002	1.1264613702616924	0.4870853117271352	2.948594679624705	0.29763751444047415	1.3014789477612254	5.6573687079724095	0.20771453611314827	0.8259337785066236	2.365828721826688	9.831755725299445	0.1559974735058809	0.5994827475185254	1.463132873010096	3.9083380614633825	16.091565061506117	0.12289362760126621	0.46698796598453995	1.0505024994035068	2.3363157440272744	6.148632311042093	25.24819132394623
0.8999999999999998	1.2765767581844667	0.5536997414846567	3.322540764648835	0.33849151372558683	1.4708314703177479	6.363298181328673	0.23608359205460916	0.9355092420385773	2.664389662900078	11.053716959755548	0.1771260659496221	0.6801688325931163	1.64997492842501	4.396361344762681	18.089885593173676	0.1393858288179568	0.5305074913180352	1.1861834124880062	2.6297532029961985	6.913904788738364	28.384058834402822
0.9999999999999994	1.4290168883790741	0.6217754838637282	3.697898699370512	0.38026972478213183	1.6418252541235745	7.069011015392789	0.2650551495403586	1.0466553485319814	2.963644336458799	12.274125025542162	0.1986563769455858	0.7622938407884607	1.8377736844701502	4.884291547700286	20.085267687871237	0.15615202251613836	0.5953241019062787	1.322924767243677	2.923535504607912	7.678445129828106	31.515388878062367
1.1000000000000005	1.5838648702431666	0.691355521897739	4.074581800925699	0.42301173163440087	1.8145149731166512	7.77452902924756	0.29465268397008204	1.159428212084876	3.2636148309652526	13.49298329982048	0.22060175747297506	0.845913439596746	2.02655590499279	5.372136060590947	22.077703579867375	0.17319978068284136	0.6614918098126576	1.4607588462889893	3.217679872032818	8.442277836613357	34.642294544377364
1.2000000000000002	1.7412147964037121	0.7625158548753665	4.452714086828735	0.46675953653801106	1.9889581913636505	8.479875820715733	0.3249009566392367	1.2738869872839267	3.564324361728495	14.710295716518885	0.2429761527924288	0.9310864981318581	2.2163498402220654	5.859903223248693	24.067188371060183	0.19053659487460628	0.7290666316179362	1.5997162394507498	3.5121936620769247	9.205385646044306	37.764655684353784
1.2999999999999998	1.9011646431699685	0.8353268535096334	4.832353038571796	0.5115577841651389	2.1652157534611476	9.185078097893665	0.35582611151758714	1.39009412118493	3.865797487382679	15.926067635933578	0.26582137369371917	1.017981972340296	2.4075389727375835	6.349122963359605	26.063191442677635	0.20817044421781383	0.798108985937672	1.739831994129986	3.8070937846257493	9.967787321418655	40.88254905224312
