T(ħω₀/kB)|N|E(ħω₀)	1	2	3	4	5
0.003906250000000001	-8.128404262084548	-8.139525906411347	-8.140035412438692	-8.14008871053429	-8.140096766354432
0.004195837740730745	-8.129574597561836	-8.140694983429572	-8.141204427355088	-8.141257733341892	-8.141265792418793
0.004506893912714371	-8.130832492217152	-8.141951520583763	-8.142460898054011	-8.142514212639291	-8.142522275232402
0.0048410100665437815	-8.132184559694814	-8.143302123283796	-8.14381142966095	-8.143864753623347	-8.14387282001381
0.005199895741558234	-8.133637922758435	-8.144753905309248	-8.145263135654638	-8.145316469852727	-8.145324540346063
0.005585387212875555	-8.135200253923838	-8.146314529364357	-8.146823678423353	-8.146877023804556	-8.1468850987327
0.005999456886880819	-8.136879819548422	-8.147992251080314	-8.148501313265982	-8.14855467087748	-8.148562750601211
0.006444223393244555	-8.13868552769961	-8.1497959667864	-8.150304936162811	-8.150358307163476	-8.150366392075181
0.006921962425107319	-8.140626980161894	-8.15173526540675	-8.152244135672994	-8.152297521346856	-8.15230561187402
0.007435118382895463	-8.142714528978974	-8.153820484878885	-8.15432924935234	-8.154382651124742	-8.154390747705715
0.007986316881344968	-8.14495933797135	-8.156062773531698	-8.156571425131808	-8.15662484458488	-8.156632947760894
0.00857837818372667	-8.147373449717655	-8.158474156908445	-8.158982688140554	-8.15903612703525	-8.159044237362224
0.009214331632010662	-8.149969858543333	-8.16106761057612	-8.161576013516022	-8.161629473813829	-8.161637591902142
0.00989743114680306	-8.152762590120794	-8.16385713952133	-8.164365405799849	-8.164418889688456	-8.164427016187329
0.010631171876362321	-8.155766788353969	-8.166857864802523	-8.167365985590482	-8.1674194955128	-8.167427631146666
0.011419308079881308	-8.158998810298947	-8.170086118204022	-8.170594084201891	-8.170647622697548	-8.170655768447876
0.012265872336536974	-8.1624763299589	-8.173559545726139	-8.174067347134926	-8.174120917644693	-8.174129074005236
0.013175196178592533	-8.16621845189108	-8.177297220840192	-8.177804847369451	-8.177858453126873	-8.177866621240348
0.014151932254123555	-8.17024583567635	-8.181319768552068	-8.181827209389724	-8.1818808542365	-8.181889035150581
0.015201078132765779	-8.174580832425793	-8.185649501437286	-8.186156745236548	-8.186210433484302	-8.186218628350346
0.016328001876289435	-8.179247634646613	-8.190310568957493	-8.190817603815429	-8.19087134030636	-8.190879550390235
0.01753846950483395	-8.18427244094704	-8.1953291215214	-8.195835934951134	-8.195889725125532	-8.195897951818761
0.01883867449933764	-8.189683637245512	-8.200733490935367	-8.201240069826959	-8.201293919797408	-8.201302164630235
0.02023526949111366	-8.195511996340727	-8.206554389073442	-8.207060719637472	-8.207114636269981	-8.207122900924052
0.02173540030071609	-8.20179089786446	-8.212825126755352	-8.213331194437696	-8.213385185438575	-8.213393471761012
0.023346742500258554	-8.20855657063959	-8.219581854788345	-8.220087644142136	-8.22014171814699	-8.220150028162177
0.025077540686261113	-8.215848358754506	-8.226863828439072	-8.22736932292256	-8.227423489580467	-8.227431825499977
0.02693665066396806	-8.223709010252701	-8.234713693998469	-8.235218875642055	-8.235273145677482	-8.23528150990013
0.02893358475897782	-8.232185125717578	-8.243177937777649	-8.24368278730902	-8.24373717281247	-8.243745567998939
0.0310785604880259	-8.24132721790944	-8.252306935632799	-8.252811430880797	-8.25286594492798	-8.252874373836129
0.0333825528379501	-8.251190463787644	-8.26215570937353	-8.262659825118682	-8.262714482053493	-8.262722947687184
0.03585735042032877	-8.261834970584044	-8.27278418367937	-8.273287890151526	-8.273342705371853	-8.273351210820937
0.03851561578911308	-8.273326319283026	-8.284257724303533	-8.284760985261354	-8.284815974910792	-8.2848245232525
0.04137095022987412	-8.285736128277883	-8.296647693561933	-8.297150463458195	-8.297205643827365	-8.297214237977201
0.04443796335216626	-8.299142685063337	-8.310032071085978	-8.31053429087307	-8.31058967713021	-8.310598319711698
0.04773234784108259	-8.31363165676871	-8.324496149467205	-8.324997740365252	-8.32505334549856	-8.325062037537442
0.05127095975047738	-8.329296893423923	-8.340133316998358	-8.340634171217832	-8.340690001800237	-8.340698743052176
0.05507190474868225	-8.34624134247711	-8.357045943768444	-8.357545910745307	-8.357601962788884	-8.357610749639164
0.059154630758003215	-8.364578099870943	-8.375346393787993	-8.375845260030385	-8.375901511173542	-8.375910334930662
0.06354002746199597	-8.384431632336792	-8.395158195643624	-8.395655656041594	-8.395712054455046	-8.395720898884402
0.06825053318966039	-8.405939217189452	-8.416617418136319	-8.417113037023167	-8.417169486604024	-8.417178325253278
0.07331024972343639	-8.429252658241527	-8.439874315088037	-8.440367477148417	-8.440423820156681	-8.440432614223752
0.07874506561842959	-8.454540346365476	-8.465095322428898	-8.465585177323373	-8.465641177918204	-8.465649875647873
0.0845827886638403	-8.481989736098186	-8.492465504900412	-8.492950915156992	-8.493006249718526	-8.493014788012621
0.09085328816435045	-8.511810299932804	-8.522191549377968	-8.522671057169227	-8.52272531822128	-8.522733626344158
0.09758864776946376	-8.544236993435582	-8.554505373798285	-8.55497720550342	-8.555029923820431	-8.555037928285724
0.10482332963276693	-8.57953421049194	-8.589668351511282	-8.590130475723956	-8.590181159811403	-8.590188789310604
0.11259435074104915	-8.618000122646624	-8.627976032718728	-8.628426275957295	-8.628474461866555	-8.628481651496646
0.12094147231548645	-8.659971177354214	-8.669763083333482	-8.670199291008435	-8.670244591587487	-8.670251286258843
0.1299074032539804	-8.705826385713497	-8.715407982911497	-8.715828198054236	-8.71587034096387	-8.715876498249283
0.13953801865558518	-8.755990887899593	-8.765336872283893	-8.76573949823594	-8.765778345808053	-8.76578393850932
