α|N|w(ω₀)	N=1|w₁	N=2|w₁	N=2|w₂	N=3|w₁	N=3|w₂	N=3|w₃	N=4|w₁	N=4|w₂	N=4|w₃	N=4|w₄	N=5|w₁	N=5|w₂	N=5|w₃	N=5|w₄	N=5|w₅	N=6|w₁	N=6|w₂	N=6|w₃	N=6|w₄	N=6|w₅	N=6|w₆
0.1	2.987672207001033	1.9949058626604361	12.894185718347085	1.6739351193141987	6.250585274650787	45.28374812940658	1.5128067275867538	4.323901982584628	18.45040552353398	135.43564404951186	1.4152368175266212	3.4245259199114075	11.287758358630205	49.19531245054458	361.66941174640164	1.349642097984518	2.9081224832738872	8.147888464233024	27.63135016436912	120.86783200529554	889.0876476784881
0.19999999999999965	2.9752198642700516	1.9897583853763108	12.860143530531676	1.6710030231576105	6.2347057600683495	45.194091098844225	1.5108673211563624	4.313470828152126	18.41495948798155	135.20001719012404	1.4138251688661871	3.4167870795615434	11.266322675898389	49.112606148838005	361.0764154582537	1.3485200077486912	2.9018577285087326	8.131673482012161	27.581140840999517	120.64866846526856	887.411351511714
0.3000000000000006	2.9626342951969353	1.9845568168527725	12.826093604662283	1.6680411678087124	6.218764789361057	45.10451368625279	1.5089101046776572	4.302975736303377	18.379606197691007	134.9659681803739	1.4124062731305709	3.4090248342322482	11.245152556159523	49.031662580546595	360.49928176500987	1.3474197431470785	2.8957547469425435	8.116545317667843	27.53631703486512	120.46009069149156	886.0140074973059
0.40000000000000024	2.949916764482886	1.979299750497638	12.792040270865693	1.6650483362605553	6.202757275616597	45.014954305138836	1.5069324242847335	4.292395621139481	18.34420111398271	134.73189585941876	1.4109730641770506	3.4011865782034474	11.223972243019436	48.95089724425694	359.9240383850613	1.3463133828133163	2.8896211669393392	8.101583753517728	27.4924909360877	120.27750476284783	884.6746645983961
0.4999999999999999	2.937064541218878	1.9739858115460955	12.7579901018777	1.6620236995398805	6.186683234954288	44.92541813452906	1.5049334338073295	4.281725991628582	18.308724545890342	134.49758610045848	1.409524081761785	3.3932621722593215	11.202739337564564	48.870071327500895	359.34872127570367	1.3451975561600935	2.8834331640289923	8.086680636816673	27.44914706175307	120.09809513173775	883.3668488877325
0.5999999999999995	2.9240744390849223	1.9686135845704626	12.723950450468559	1.6589664501743846	6.170543431868022	44.8359194195077	1.5029124887612444	4.270964338114199	18.273171925517318	134.26298944314192	1.408058612611752	3.38524719477386	11.181443566847866	48.78912800791272	358.77280289824273	1.3440677650444428	2.877162760523425	8.071727437857293	27.40577777882772	119.91882401485839	882.06503960512
0.7000000000000005	2.91094314284836	1.9631816555321304	12.689930493538753	1.6558760409440247	6.15434237507327	44.74652137196181	1.5008702376002818	4.260120374951558	18.237632010373527	134.02909965899107	1.4065800782351632	3.3771691636352124	11.16025341374814	48.70905878441578	358.2052365795473	1.3429251133324243	2.870814651766584	8.05674017979649	27.362410851663334	119.73966333854828	880.7621095660154
0.8000000000000002	2.8976672329328275	1.9576883452334082	12.65593541160213	1.6527507935440722	6.138071225823925	44.65710902133793	1.498802269760258	4.2491567968438115	18.20183636178239	133.79290907916274	1.4050759637585093	3.3689326334850955	11.138651966052482	48.62683888650447	357.61884599667127	1.3417683707566905	2.8643817952062767	8.041704979840633	27.318996739496654	119.5604001118682	879.4583973283441
0.8999999999999998	2.884241070775385	1.9521322310371232	12.621978112718732	1.649590653223388	6.121741744978563	44.56783986281831	1.4967117501286282	4.238107176382625	18.1660561679465	133.5574565577578	1.4035576370347134	3.360626485623015	11.117150589528404	48.54545767317233	357.0403734100503	1.340596974242731	2.857860666551976	8.026619008739209	27.275521061879083	119.38095638708572	878.1534177482532
0.9999999999999994	2.8706673348428096	1.9465239432213928	12.588346878756685	1.6463944282026732	6.105352357650456	44.47869313620611	1.4945967558716997	4.226957820235901	18.130203464112412	133.32175451119716	1.402020599887661	3.3522172833854422	11.095580159533629	48.46393243538253	356.4610679528378	1.3394103963393222	2.8512479968976043	8.011481364517131	27.231977348134905	119.20127487470434	876.8462133440858
1.1000000000000005	2.856935924025888	1.9408357994852081	12.554465761043534	1.6431611663463657	6.088905144406343	44.38969527420894	1.4924566084792426	4.215706874178808	18.094280869552954	133.0858314506964	1.4004642691711704	3.3437018276397046	11.073940498337286	48.382262890681154	355.8809044007277	1.3382083503930746	2.8445423450084233	7.996302186775684	27.188421873852683	119.02176013231755	875.5417130764127
1.2000000000000002	2.8430450392224844	1.935079913091153	12.520659485651953	1.6398898773832302	6.072402472370615	44.30087499819023	1.4902905977304997	4.204352423292153	18.0582909473137	132.84971353510733	1.3988880501388186	3.3350769007561185	11.052232300359908	48.30045534937592	355.2999334159699	1.336990075165235	2.837738743966618	7.981072908845052	27.144802357515548	118.84202072825511	874.2351228611169
1.2999999999999998	2.828990632050971	1.9292543804514302	12.48693974442507	1.636579562596743	6.0558474871909835	44.21227106318876	1.4880979883881063	4.192892580338624	18.022237018650245	132.61343588745513	1.397319659087313	3.326583149049683	11.032114181150924	48.23179818674719	354.8978732853337	1.3357551625878084	2.830834899866488	7.965800830907142	27.10115673859894	118.66231695248476	872.9294753970445
1.3999999999999995	2.8147685069727952	1.9233490336955317	12.453128572907268	1.6332291562626902	6.039243205373195	44.12391448432785	1.4858783390350894	4.181328558849273	17.98614658299112	132.37730370606707	1.3957032117143866	3.3177413746156303	11.010347692917463	48.150245672040434	354.3208564333492	1.3345029626403888	2.8238267566395514	7.950484668382986	27.057473292197354	118.48254475665297	871.6233589825547
