α|N|v(ω₀)	N=1|v₁	N=2|v₁	N=2|v₂	N=3|v₁	N=3|v₂	N=3|v₃	N=4|v₁	N=4|v₂	N=4|v₃	N=4|v₄	N=5|v₁	N=5|v₂	N=5|v₃	N=5|v₄	N=5|v₅	N=6|v₁	N=6|v₂	N=6|v₃	N=6|v₄	N=6|v₅	N=6|v₆
0.1	3.010044520738218	2.009109381706774	12.908322696784309	1.6842520996830888	6.263203379188786	45.29156789996023	1.5208052866452824	4.335303192449379	18.45836273951619	135.44020126617832	1.4216997124846158	3.4348572738692114	11.29572990537901	49.20028238508359	361.6722066547354	1.3550199713531126	2.917523086920993	8.155750107041303	27.636617570998112	120.87102305914306	889.0894319532622
0.19999999999999965	3.020274230593791	2.0184008182724926	12.888515990452301	1.6918097476992702	6.260083391605534	45.20975649245842	1.5269908401625683	4.336437481684252	18.430915894788757	135.2091414907511	1.426843700535133	3.4376223893633764	11.282324573043311	49.1225605039168	361.0820102511444	1.359343259275496	2.9208303035137675	8.147470567990634	27.591696622750867	120.65505760304548	887.4149233805459
0.3000000000000006	3.030695458958714	2.0278813519606174	12.868801871134227	1.699516157389748	6.257046980302016	45.12805081965409	1.5332890085883293	4.337677037542456	18.403604427633514	134.97966944834943	1.4320761099827597	3.44054260952388	11.269244662333898	49.046615791872796	360.5076812939969	1.3637591595466616	2.924477960084034	8.14035309392659	27.552181620943017	120.46968410918552	886.0193696128161
0.40000000000000024	3.041314920046717	2.0375577439322115	12.849186539377245	1.7073761238549632	6.254092804411145	45.04638957622577	1.5397012123982041	4.339005918415081	18.37628452907641	134.75018406789508	1.4373924816587382	3.4435712897227977	11.256215650849786	48.97086393584485	359.93524755200303	1.368241276164831	2.9282799246183	8.133479206098132	27.51368511019496	120.29030877904779	884.6818196704378
0.4999999999999999	3.0521397123027163	2.0474371892282566	12.829678486551371	1.7153951299782075	6.251224772034579	44.964778222922824	1.5462308743218094	4.340425015121473	18.34893725768001	134.52047130751927	1.4427940866731381	3.4467045584059885	11.24319641138576	48.89506630377051	359.3627450227195	1.372788021104989	2.9322190646028776	8.126742515802995	27.475691887622265	120.11411608600413	883.3757996014334
0.5999999999999995	3.063177306856979	2.057527269793982	12.810287033415081	1.7235789977240306	6.248447692705471	44.88323128764355	1.5528818170457415	4.341937448615837	18.32155881868403	134.29048179129296	1.4482830563713023	3.4499445791428665	11.230177988134132	48.8191662513041	358.7896462039315	1.3773964134928016	2.9362743232676096	8.120036424794236	27.43769468240481	119.93806838625498	882.075788727768
0.7000000000000005	3.074435568507725	2.0678360282074797	12.791023373875706	1.7319341755520694	6.2457702828001125	44.801812249589574	1.5596595101552895	4.343558874608472	18.294238711006162	134.0612092939613	1.453866257811525	3.453326028613826	11.217330070482937	48.74415519815925	358.22490425752113	1.3820695003390011	2.9404577700145467	8.113378792726117	27.39972153598354	119.76213761301352	880.7746598703905
0.8000000000000002	3.085922781571818	2.07837171092898	12.771894762417574	1.7404662306408114	6.243188073496492	44.72040647010751	1.5665640044223057	4.345258020264226	18.266709491939984	133.82964647487643	1.4595327805286815	3.4567600200880806	11.204137650611711	48.667009340574104	357.64134349520106	1.3868078411821625	2.944770115763482	8.106757766345133	27.361723238799417	119.58611084578784	879.472751608976
0.8999999999999998	3.097647678510849	2.0891433624666913	12.752916225028672	1.7491829055097556	6.240717383645164	44.63917167935742	1.5736040337479154	4.347075071878157	18.239243031438754	133.5988320275934	1.4652986406968684	3.460343799171408	11.191113088458929	48.5907174472916	357.0657056206621	1.3916127608522144	2.949216011204154	8.100172598404408	27.323685739665606	119.40991019460655	878.1695788182215
0.9999999999999994	3.109619471078543	2.1001740274077023	12.734377717001866	1.758091106285149	6.238361376610973	44.55808741541968	1.5807829111559144	4.349003076865481	18.211752304118694	133.36777853353283	1.4711621730641875	3.464051754205837	11.178088958364325	48.51429726017912	356.48923999717795	1.396485672084751	2.9538008128035447	8.093624554008478	27.285602903251753	119.23347842315366	876.8641840357833
1.1000000000000005	3.121847884190627	2.1114447950304376	12.715706521705355	1.7671984467577913	6.2361270698001885	44.477180391368954	1.588105604852349	4.351047306233677	18.18424084247773	133.13651458643113	1.4771262392558449	3.467889178125196	11.165066684337692	48.43774869338555	355.91192143655394	1.4014283320043859	2.9585322310832916	8.08712603515752	27.247531335198495	119.0572201205435	875.5614962019081
1.2000000000000002	3.134343192656251	2.12298142359377	12.697229148222654	1.776512973913221	6.234021974441252	44.39647960622545	1.5955773319783553	4.353213328855655	18.156712155551745	132.90506642741877	1.4831938273919612	3.4718618106268133	11.152048630692969	48.36107825700649	355.3338006350701	1.406441984571332	2.9634148900596378	8.080670827088007	27.209419117111974	118.88074392609201	874.256721277953
1.2999999999999998	3.1471162612116843	2.134794912398066	12.678959626857175	1.7860432382432643	6.232054600336753	44.316024084554016	1.6032035848769537	4.355507124485461	18.129170544837123	132.6734692601053	1.4894037744566124	3.476224592842298	11.140694874139983	48.29757218836646	354.93459066973935	1.4115283555769598	2.968456706142062	8.074268689597275	27.171304539067176	118.70431016544164	872.9528919512276
1.3999999999999995	3.1601785879547175	2.146887315623345	12.660722906832872	1.7957982611988872	6.23023355300512	44.23584510989393	1.6109905538272544	4.357938204045848	18.101644492815282	132.44202831771565	1.4956904094830188	3.4804992080345802	11.127769161122256	48.22118924577346	354.3604338425406	1.4166889295057006	2.97366438793087	8.067920905199179	27.133176249275685	118.52781484586433	871.6485965424934
