T(ħω₀/kB)|N|vᵢ(ω₀)	v₁	v₂	v₃	v₄
0.0625	2.6291838213800798	5.909523749337813	16.863021601665167	122.64432451445451
0.06567228991582619	2.6209054847941564	5.920933514726833	16.844276057754577	122.51710109092964
0.06900559460461327	2.615213657575653	5.934937120436219	16.838079917913294	122.48731537001395
0.07250808663501017	2.613218456531265	5.952158414055946	16.848636935166518	122.58752036025332
0.0761883533877797	2.61620626141346	5.973291978927868	16.880708207639497	122.85452434924004
0.08005541811026703	2.625595723815697	5.999080213246122	16.93946403269572	123.32815790343746
0.08411876203952229	2.64270846579542	6.030169977168573	17.02929312819258	124.0394331290228
0.08838834764831843	2.669537227559653	6.067675537798652	17.158716866967545	125.06093671811492
0.09287464307105929	2.7070053186894354	6.111994880884845	17.330148810228078	126.4023894874926
0.09758864776946374	2.756585410622698	6.163981658993013	17.55002582321656	128.11391752331332
0.10254191950095475	2.8194142818672665	6.224372817786682	17.823795700265375	130.2346112646371
0.10774660265587224	2.8964122799934913	6.29392641703528	18.157026302435547	132.80351204706764
0.11321545803298834	2.9882239750139137	6.3734425084121495	18.55547908299221	135.8601394242666
0.11896189412632738	3.0951396253916843	6.463776119655401	19.025102214547307	139.4444842343877
0.125	3.216760133925869	6.565644558468966	19.570155361782078	143.57832294196695
0.13134457983165246	3.3530847702115745	6.680550823699365	20.201586749264898	148.35222197723067
0.1380111892092265	3.5020487762767423	6.8088291661462215	20.91917643637731	153.74429387241548
0.14501617327002034	3.6618825273080966	6.951460601598251	21.728303561530602	159.79438980703975
0.15237670677555948	3.8299921304785833	7.1090157431965775	22.630617570142164	166.51096999877677
0.16011083622053407	4.003377997856141	7.281731027865891	23.625248354128278	173.8856444394399
0.16823752407904455	4.17890431325007	7.469413396080242	24.70853327612753	181.89157028846967
0.1767766952966368	4.353602260889096	7.671391004640646	25.874090609481634	190.48405701950009
0.1857492861421186	4.524744223682551	7.886215350005988	27.11016764111089	199.56952670826715
0.1951772955389275	4.690971022286781	8.113318603618191	28.415682368171044	209.1789520460908
0.2050838390019094	4.850434062492724	8.350010806160265	29.770331661635865	219.13510404902723
0.21549320531174432	5.002663325225968	8.594789116112223	31.166134816712898	229.39597372584075
0.22643091606597668	5.147504718262216	8.845930111855218	32.59282959361838	239.890753038364
0.2379237882526549	5.285183750591291	9.101943371804555	34.04156806196396	250.55792756271416
0.2499999999999999	5.416188415391609	9.361683598726456	35.50548261006853	261.34979054737767
0.2626891596633048	5.5411678846682015	9.624405410950862	36.97987989729325	272.2333213815559
0.2760223784184531	5.660747034296438	9.889357719607625	38.45744576487689	283.12884523424276
0.2900323465400406	5.776064442418425	10.15800162070365	39.953198327025966	294.224196811553
0.3047534135511187	5.887587335926832	10.429625591008104	41.455079948901705	305.3526001952181
0.32022167244106803	5.996251191464601	10.705694050021439	42.97311084689646	316.6128944681779
0.3364750481580891	6.102875002896105	10.987631593622197	44.51453738197682	328.0576393347995
0.3535533905932737	6.208273071071537	11.277220419724376	46.08848036730809	339.753230703092
0.3714985722842371	6.313252765573956	11.576554933745108	47.705609489997556	351.77753191293937
0.3903545910778549	6.418612227114641	11.887992201833187	49.377792801639906	364.21729261955977
0.41016767800381904	6.525000203397317	12.213286032566796	51.108178886651466	377.037349992054
0.43098641062348875	6.633598588744539	12.557608619780195	52.93869934306862	390.7190399772526
0.4528618321319532	6.744746095217983	12.921356726080923	54.85412402583909	404.97643604595515
0.4758475765053096	6.8593063988736604	13.308250592985155	56.877469893133906	420.03611215223367
0.5000000000000001	6.9779786122694425	13.721221051331565	59.021991314051775	435.995025879199
0.5253783193266097	7.101432104647185	14.1631886367958	61.30061357234162	452.94771944053684
0.5520447568369061	7.23030547578224	14.637034135052119	63.72585181005257	470.98575005748967
0.5800646930800811	7.365207124789135	15.145575829724368	66.30977812287102	490.1974900743003
0.6095068271022377	7.506506302935293	15.689838878570749	69.04486155646515	510.4084339835917
0.6404433448821363	7.655390822913138	16.27761269420382	71.99976945008365	532.4796060925948
0.6729500963161777	7.811762786066747	16.906315551089644	75.12790802984875	555.7120236892911
0.7071067811865472	7.976351818003311	17.580129153553784	78.45899796613777	580.4430379740231
0.7429971445684742	8.149665969757946	18.30144302895347	82.0034147064489	606.749145114769
0.7807091821557101	8.332207478734922	19.072582593967844	85.77143303132448	634.7062372274819
0.8203353560076376	8.524477347584016	19.89582873395155	89.77332934332387	664.3903601693319
0.8619728212469775	8.726979536600622	20.77344181916629	94.01949518578616	695.8785845114088
0.9057236642639067	8.939888638880003	21.703980917181966	98.48078991562322	728.7085927328962
0.9516951530106194	9.164731390407434	22.700850291199767	103.28728180882453	764.5835905326448
0.9999999999999998	9.401033108701489	23.755293522150303	108.3311481837254	801.965759170293
1.0507566386532188	9.649675853043242	24.873448355294208	113.66392830051643	841.4836644970678
1.1040895136738125	9.911222638883084	26.057857469958098	119.29803848267238	883.2296263858839
1.1601293861601623	10.186254909700386	27.311193564394696	125.24656484994465	927.3009414977306
1.2190136542044752	10.475374395782419	28.63627990470813	131.52333703295113	973.8004182679039
1.2808866897642717	10.779205071938643	30.036110288494218	138.1430122132742	1022.8371084571371
1.345900192632356	11.097862224377588	31.506444032392746	145.0425712649288	1073.4507357759207
1.414213562373095	11.433616272542963	33.07289872364748	152.47389275353532	1128.9879821834859
1.4859942891369482	11.785572413434899	34.71682700273914	160.21898053242998	1186.3540129523024
1.5614183643114197	12.154994291310656	36.4494550128522	168.3747316267396	1246.7602289469658
1.640670712015276	12.542645594784	38.27483419395323	176.96066470850928	1310.3514611507858
