α|N|M(m₀)	N=1|M₁	N=2|M₁	N=2|M₂	N=3|M₁	N=3|M₂	N=3|M₃	N=4|M₁	N=4|M₂	N=4|M₃	N=4|M₄	N=5|M₁	N=5|M₂	N=5|M₃	N=5|M₄	N=5|M₅	N=6|M₁	N=6|M₂	N=6|M₃	N=6|M₄	N=6|M₅	N=6|M₆
0.1	1.0150341358148132	1.0142904816621945	1.002193969983745	1.012364605559071	1.004041490553383	1.000345397457172	1.010602417385024	1.005280527261469	1.0008627378785748	1.0000672982857708	1.0091541596091276	1.0060428441088773	1.0014129220869445	1.0002020593155792	1.000015455656698	1.0079852101412632	1.0064755164783101	1.0019306684350109	1.0003812994055343	1.0000528030646096	1.0000040137247868
0.19999999999999965	1.030519963681794	1.0289970742358323	1.0044173314189537	1.0250583190470046	1.0081573311838194	1.0006933697853126	1.0214572801170825	1.0106771536425085	1.0017337339094843	1.0001349793987375	1.0185008293990423	1.0122330337763097	1.0028426775255104	1.0004054097167827	1.0000309897628104	1.0161164614435219	1.0131189044279534	1.0038890961881053	1.0007655812174516	1.0001059159132306	1.0000080501021638
0.3000000000000006	1.046477969349531	1.0441382581279486	1.0066706781789472	1.038094919698396	1.0123497264196668	1.0010439431769584	1.0325742989100937	1.016194014332548	1.002613102469591	1.0002030432354527	1.028046891249516	1.0185762638556395	1.0042894774516207	1.0006100340344732	1.0000465999643557	1.024399948168504	1.019936541274845	1.005875084112188	1.0011525983024578	1.0001592859452095	1.0000121039434828
0.40000000000000024	1.0629298449987001	1.0597336161744648	1.0089546175474613	1.051488958672497	1.0166209829496857	1.0013971466887441	1.0439635807516736	1.0218355284703815	1.0035009942730575	1.000271493985297	1.0377991048804835	1.0250787801376604	1.0057537065104831	1.0008159508749195	1.0000622872622589	1.0328400020404267	1.0269359568357654	1.007889380348586	1.001542409782584	1.000212919244447	1.0000161756660666
0.4999999999999999	1.0798986195810094	1.0758039174588294	1.01126976837188	1.065255833086306	1.0209734987250645	1.0017530089701012	1.0556357760679582	1.0276063353122926	1.0043975616829022	1.0003403355364364	1.0477645656520094	1.0317471686215975	1.0072357527988565	1.0010231770704452	1.0000780524311177	1.0414413626966637	1.0341250248320792	1.0099326572202858	1.0019350445358732	1.0002668156033228	1.00002026510064
0.5999999999999995	1.0974087577758866	1.092371207352896	1.0136167608757913	1.0794118472987786	1.0254097680728258	1.002111558367537	1.0676021085562326	1.0335113129796698	1.0053029607551065	1.0004095717367698	1.0579507066349523	1.0385883894820198	1.0087360143971926	1.001231728932861	1.0000938961979506	1.0502085863450772	1.041512277094176	1.01200574500324	1.0023305661401951	1.0003209823929962	1.0000243727790161
0.7000000000000005	1.1154862705012063	1.1094589071177228	1.0159962346247458	1.0939742997949458	1.0299323700778444	1.0024728196033188	1.079874545562169	1.03955550704366	1.00621731480107	1.000479201626192	1.06836583263947	1.0456095321681156	1.010254715122479	1.001441582270583	1.0001098153566939	1.0591468409556757	1.049106517355986	1.0141093532706145	1.0027290082347302	1.00037542085836	1.0000284989412138
0.8000000000000002	1.1341588366025517	1.127091914746886	1.0184088465674235	1.1089614616501131	1.0345440537073671	1.0028368297629384	1.0924651771034373	1.04574458728392	1.0071408989692485	1.0005492434497105	1.0790165303512502	1.0528192263306606	1.011792842524296	1.0016528751332634	1.0001258222626181	1.0682612542367655	1.0569172461719492	1.0162442931086215	1.0031304159161547	1.0004301340303938	1.0000326437221339
0.8999999999999998	1.1534559809277056	1.145296735487481	1.0208552534717108	1.1243928478453677	1.039247581957817	1.0032036060458105	1.1053875887634226	1.052083985793624	1.008073771140756	1.0006196865358896	1.0899128934240176	1.0602249205499579	1.0133502798050888	1.0018655039843782	1.0001419061325585	1.0775572054497429	1.0649545261076454	1.0184113887501822	1.003534832837908	1.0004851245880817	1.0000368072784358
0.9999999999999994	1.1734089970309571	1.1641020830611637	1.023335526643315	1.14028911484796	1.0440458975991738	1.0035731777548678	1.1186555824992555	1.0585797978704639	1.00901614167496	1.0006905394619832	1.1010633572542925	1.0678356653416865	1.0149276690413662	1.002079525634926	1.0001580714424545	1.0870402806285238	1.073229063328083	1.0206114950125158	1.003942303160156	1.000540395202255	1.0000409898008928
1.1000000000000005	1.1940515545719974	1.1835370923800335	1.0258515488306006	1.1566722524104671	1.04894204807893	1.003945570084743	1.1322838952413359	1.0652383625328743	1.0099681885294527	1.0007618059116075	1.1124773050726495	1.0756607844592505	1.0165254851206067	1.0022949575126765	1.0001743189201662	1.0967163429721911	1.0817522407178766	1.0228454716640598	1.004352861346385	1.000595945992718	1.000045191105581
1.2000000000000002	1.215419428525835	1.2036343640848601	1.028403404611821	1.1735656702603265	1.0539392070092564	1.0043208071620875	1.146288122839547	1.0720663747051171	1.0109300947601063	1.0008334895492081	1.1241645819808455	1.0837101893131282	1.0181442200265827	1.0025118169892548	1.0001906492516763	1.1065913672105923	1.0905362291779321	1.0251142606415051	1.0047665602516223	1.0006517813537052	1.0000494116126684
1.2999999999999998	1.2375509164679157	1.2244282138216116	1.0309917873207832	1.190994319430998	1.059040675789151	1.0046989108487094	1.1606847847887967	1.0790709095258522	1.0119020482208054	1.000905593926242	1.136143953975607	1.091990572260258	1.0197813455710418	1.0027292720694725	1.0002069287338242	1.1166716517196331	1.0995939869169047	1.0274187988716774	1.005183438135147	1.0007079019606262	1.0000536512259481
