mp_id	formula	spgroup	groups	volume(Å^3)	band_mass(me)	eps_optic(ϵ0)	eps_total_single(ϵ0)	eps_total_multi(ϵ0)	eps_ionic_single(ϵ0)	eps_ionic_multi(ϵ0)	AHC_alpha	alpha	v_gs_single	v_gs_multi	w_gs_single	w_gs_multi	v_rt_single	v_rt_multi	w_rt_single	w_rt_multi	AHC_ZPR(meV)	energy_gs_single(meV)	energy_gs_multi(meV)	energy_rt_single(meV)	energy_rt_multi(meV)	imag_memory_single	imag_memory_multi	mobility_single(cm^2/V/s)	mobility_multi(cm^2/V/s)
mp-10086	YSF	129	3-16-17	94.4423122395	0.40758775747600007	5.981005653242649	20.482315099537658	20.437154677233455	14.50130944629501	14.456149023990804	1.3079420000000002	1.307941999999999	34.57649510223148	34.591509902919285	31.058840856876234	31.079239733939563	50.891954293496084	50.94887034934725	43.12953445496031	43.19675686796571	-59.410185999999996	-60.44093646782305	-60.437485137612384	-85.73386831551682	-85.70727164048063	12.278482598027452	12.236416803227968	55.93397704868009	56.126264320247046
mp-1008680	TiGePt	216	4-14-10	51.8528951833	0.5737911001	19.183229267187482	25.4315440579943	25.420335456614392	6.2483147908068215	6.237106189426908	0.20101200000000002	0.2010119999999999	23.146394727788064	23.16853987977602	22.799305871169405	22.822115509630944	43.904832265197754	43.95584097107611	42.97777233551711	43.03030751688039	-6.3707329999999995	-6.3867085393000105	-6.386632754561287	-10.335786853808274	-10.327101582715219	1.581078791439809	1.5746452218381346	308.55615135985227	309.8168273827859
mp-1009084	BeSnAs2	122	2-14-15	175.450951935	0.32789824537600004	14.133937144669183	16.25389541161864	16.158045579398753	2.1199582669494563	2.0241084347295693	0.11626799999999998	0.11626799999999994	20.465002329453355	20.76086787977983	20.28802850231271	20.594742437800672	43.04891901525561	44.64479901240431	42.54511123370163	44.16510820578465	-3.2674520000000005	-3.272170426548825	-3.27151852109944	-5.496963819835973	-5.36403775053419	0.8949591766166262	0.8021067201212084	953.8920110282878	1064.315243041537
mp-1009085	BeSiP2	122	2-14-15	131.815571075	0.350667677584	9.725563218954239	11.054950578448425	11.037202369172997	1.329387359494187	1.3116391502187574	0.10735600000000001	0.10735599999999995	46.07348022563316	46.77795629187423	45.70570821254309	46.41483018732559	51.76575910258625	52.96619177543201	51.0883503528276	52.29863326818528	-6.794321	-6.8033752281057325	-6.802995386048392	-8.373177646354115	-8.366219101495382	0.6516143239368253	0.6277859080520525	1225.0538235933336	1271.55230598264
mp-1009087	BeSiAs2	122	2-14-15	149.955768789	0.3575609452960001	10.975515075295128	12.035265601873116	12.015291127219887	1.059750526577987	1.0397760519247594	0.078069	0.07806899999999999	37.36333757959444	38.30220384980633	37.14667413578823	38.08917928082831	48.08034756259095	49.31529707382047	47.63334666576267	48.87781196326064	-4.010765	-4.014645329663004	-4.014402728509809	-5.235193997433341	-5.205490046661214	0.5415250239310534	0.5094289412096382	1445.6824961785671	1536.7663377759268
mp-1009088	BeGeAs2	122	2-14-15	156.686712782	0.297211419241	13.20029090965433	14.431281040567914	14.387935934110285	1.2309901309135858	1.1876450244559598	0.07092500000000002	0.07092499999999997	24.406919778853233	24.859294902323818	24.27837352057476	24.736768702695358	43.897206855455124	45.50816651334879	43.56374187700745	45.18801393878498	-2.380746	-2.3828382887959667	-2.3825908065620713	-3.633368905533575	-3.571845605663692	0.5449168428557165	0.49575851121740355	1728.4061639928614	1899.7911457788937
mp-1009129	MgO	187	2-16	19.4659993157	0.30471283206400007	3.458684822015499	40.124117883383455	40.119656805221595	36.665433061367956	36.660971983206096	1.9007079999999998	1.9007079999999987	62.57061964365023	62.57122442134329	53.08906354650029	53.08982256039844	66.71234044303607	66.71358149360307	50.844247804181975	50.84575715843789	-152.256793	-156.23660340718067	-156.23644880093363	-185.1326940389233	-185.13281089445786	13.23420165188911	13.23261178402895	69.4149537063767	69.42329375335409
mp-1009733	Ca2Si	225	2-14	89.061666852	0.369349123081	14.029135215494925	25.163677695727454	25.163670732270766	11.134542480232525	11.134535516775841	0.38108299999999995	0.3810829999999999	25.297647334904724	25.297632982818204	24.573812003019885	24.573798133248054	44.95477907137208	44.95477640541747	43.10597606276693	43.10597403529258	-13.118159	-13.18111973267108	-13.181111684624325	-20.773870487678487	-20.773862661926177	3.09342283002767	3.09342348657138	244.99948481507323	244.99943281673822
mp-1014244	ZrZnN2	156	4-12-15	48.2777315124	2.0166470875690004	8.935347377738475	59.60196796336801	56.795141350261424	50.66662058562954	47.859793972522944	1.8561100000000001	1.8561099999999993	56.190481553761444	56.88217484587666	47.891445810420684	48.671079384466275	63.01667625032165	63.77945748240427	48.407582924336964	49.36537109502976	-133.797014	-137.2026915843294	-137.09951386010192	-167.13694127689604	-166.86840123015116	14.596434671591583	14.150831852308643	9.509656683680474	9.809111152003448
mp-10159	K3Sb	225	1-15	147.608628088	0.116680312225	7.643536630519398	29.478619379343165	29.272324460224336	21.835082748823766	21.62878782970493	1.10056	1.1005599999999995	9.29123164427151	9.29344735210965	8.502376915141793	8.508173915199228	42.90397968316251	42.91704854434351	39.59502474682266	39.6170372913316	-13.546004	-13.741390965085502	-13.739635488678411	-35.08347227365275	-35.00244367393444	7.6634970472056745	7.6271623105464075	313.0523388312029	314.54367647800655
