mp-10086	YSF	129	3-16-17	multi	20.437154677233455	5.981005653242649	14.456149023990804	0.40758775747600007	94.4423122395	1.307941999999999	34.591509902919285	31.079239733939563	50.94887034934725	43.19675686796571	-60.437485137612384	-85.70727164048063	1.3079420000000002	-59.410185999999996	12.236416803227968	56.126264320247046
mp-1008680	TiGePt	216	4-14-10	multi	25.420335456614392	19.183229267187482	6.237106189426908	0.5737911001	51.8528951833	0.2010119999999999	23.16853987977602	22.822115509630944	43.95584097107611	43.03030751688039	-6.386632754561287	-10.327101582715219	0.20101200000000002	-6.3707329999999995	1.5746452218381346	309.8168273827859
mp-1009084	BeSnAs2	122	2-14-15	multi	16.158045579398753	14.133937144669183	2.0241084347295693	0.32789824537600004	175.450951935	0.11626799999999994	20.76086787977983	20.594742437800672	44.64479901240431	44.16510820578465	-3.27151852109944	-5.36403775053419	0.11626799999999998	-3.2674520000000005	0.8021067201212084	1064.315243041537
mp-1009085	BeSiP2	122	2-14-15	multi	11.037202369172997	9.725563218954239	1.3116391502187574	0.350667677584	131.815571075	0.10735599999999995	46.77795629187423	46.41483018732559	52.96619177543201	52.29863326818528	-6.802995386048392	-8.366219101495382	0.10735600000000001	-6.794321	0.6277859080520525	1271.55230598264
mp-1009087	BeSiAs2	122	2-14-15	multi	12.015291127219887	10.975515075295128	1.0397760519247594	0.3575609452960001	149.955768789	0.07806899999999999	38.30220384980633	38.08917928082831	49.31529707382047	48.87781196326064	-4.014402728509809	-5.205490046661214	0.078069	-4.010765	0.5094289412096382	1536.7663377759268
mp-1009088	BeGeAs2	122	2-14-15	multi	14.387935934110285	13.20029090965433	1.1876450244559598	0.297211419241	156.686712782	0.07092499999999997	24.859294902323818	24.736768702695358	45.50816651334879	45.18801393878498	-2.3825908065620713	-3.571845605663692	0.07092500000000002	-2.380746	0.49575851121740355	1899.7911457788937
mp-1009129	MgO	187	2-16	multi	40.119656805221595	3.458684822015499	36.660971983206096	0.30471283206400007	19.4659993157	1.9007079999999987	62.57122442134329	53.08982256039844	66.71358149360307	50.84575715843789	-156.23644880093363	-185.13281089445786	1.9007079999999998	-152.256793	13.23261178402895	69.42329375335409
mp-1009733	Ca2Si	225	2-14	multi	25.163670732270766	14.029135215494925	11.134535516775841	0.369349123081	89.061666852	0.3810829999999999	25.297632982818204	24.573798133248054	44.95477640541747	43.10597403529258	-13.181111684624325	-20.773862661926177	0.38108299999999995	-13.118159	3.09342348657138	244.99943281673822
mp-1014244	ZrZnN2	156	4-12-15	multi	56.795141350261424	8.935347377738475	47.859793972522944	2.0166470875690004	48.2777315124	1.8561099999999993	56.88217484587666	48.671079384466275	63.77945748240427	49.36537109502976	-137.09951386010192	-166.86840123015116	1.8561100000000001	-133.797014	14.150831852308643	9.809111152003448
mp-10159	K3Sb	225	1-15	multi	29.272324460224336	7.643536630519398	21.62878782970493	0.116680312225	147.608628088	1.1005599999999995	9.29344735210965	8.508173915199228	42.91704854434351	39.6170372913316	-13.739635488678411	-35.00244367393444	1.10056	-13.546004	7.6271623105464075	314.54367647800655
mp-10167	Na3SbS4	217	1-15-16	multi	24.116803816525746	5.100563251431976	19.016240565093778	0.7557068305960001	179.94484347799997	3.475439999999999	18.902004226434997	13.801140465296388	52.37282341918103	36.9757548473322	-80.68541350922384	-150.45863718400898	3.47544	-77.234042	41.282244744361456	8.97273574965664
mp-1018040	MgSe	186	2-16	multi	8.345407246577658	4.753278240681432	3.5921290058962247	0.185692908241	104.670974202	0.7084079999999997	30.703207943163342	29.050476200853105	47.56380815299622	43.730138478111584	-29.51339077264952	-43.33184170903926	0.708408	-29.24784	5.998591531524523	251.3025651721736
mp-1018096	Ba2NF	166	2-15-17	multi	30.612942186505713	5.431234850160832	36.04417703666655	0.5663781615610001	89.9684328065	3.102821999999999	32.8238269180636	24.611510221798998	57.409483162147396	38.16398907479526	-125.97522637929022	-188.9409194907116	3.102822	-120.737514	42.62407744923844	11.595247899129921
mp-1018100	AlSb	186	13-15	multi	13.276852744568641	11.800543218266	1.4763095263026436	0.180554456889	116.647044123	0.07328999999999997	29.531144539437495	29.37042205009881	45.36996817208752	44.99334464399436	-2.9789169356491065	-4.22050167949489	0.07329	-2.976225	0.5511119239293041	2813.1540105684926
mp-10182	LiZnP	216	1-12-15	multi	17.943048232518553	10.545504010109441	7.3975442224091115	0.33196956422400004	45.5166132097	0.3990569999999999	32.42914948214042	31.470159881368634	47.62574658842458	45.46923252869297	-17.613717991519042	-25.08238481712361	0.399057	-17.527563	3.0639825263309155	275.2054164330058
mp-10219	YOF	129	3-16-17	multi	44.13975333782972	3.43210651294952	40.707646824880186	0.528355988161	78.606268775	3.0192429999999986	50.29134558231696	38.29636034579786	66.63626915732074	43.276155572285504	-187.44974378948595	-242.04355924886585	3.019243	-180.07989400000002	34.74775922813192	15.247129617238597
mp-1022	K2S	225	1-16	multi	7.915716339555278	3.1624879014539538	4.753228438101323	0.35278491784899996	98.6664321834	2.4586709999999985	22.97965063777556	18.361586522782893	50.4760457246811	37.98912265913929	-72.85137535215199	-125.29862780170677	2.4586710000000003	-70.383303	29.864169628909114	26.569358941570904
mp-10226	NaYS2	166	1-3-16	multi	18.09780868005701	5.388332280804339	12.709476399252667	0.592104087289	88.36684675829999	1.876501999999999	30.395670778324657	25.86338773568405	51.33118199728458	40.575066129654374	-74.9469822097426	-113.10992919564525	1.876502	-73.071335	20.488248027672608	23.074837311823458
