mp_id	formula	mode	eps_total(ϵ0)	eps_optic(ϵ0)	eps_ionic(ϵ0)	band_mass(me)	volume(Å^3)	alpha	v_gs	w_gs	v_rt	w_rt	energy_gs(meV)	energy_rt(meV)	AHC_alpha	AHC_ZPR(meV)	imag_memory	mobility(cm^2/V/s)
mp-1000	BaTe	single	16.491058489818105	6.311555304676413	10.179503185141689	0.38645991228099996	84.0743546603	1.7268509999999992	13.070345590995947	11.284209237096409	45.11145316782458	38.813967581163794	-29.800250808102927	-65.56216915080171	1.726851	-29.124171	15.144099334211477	47.82925642308994
mp-1002124	HfC	single	35.619144941204894	24.137742711424345	11.48140222978055	0.637516014916	31.233244885599998	0.13913399999999998	58.23381717277602	57.630713306355084	57.84781676571209	56.86682388181479	-11.130030562061815	-13.1179932308818	0.139134	-11.117524	0.6558299117239874	669.5133021662793
mp-1002164	GeC	single	12.212507597367848	8.111020881077833	4.101486716290014	0.35090695587599996	23.8031409075	0.2914619999999999	70.58909992104476	69.04932609790826	65.42022248184428	63.136213664569134	-28.16752543352752	-31.83666041308367	0.291462	-28.083588	1.037764022473705	768.6894883930984
mp-10044	BAs	single	10.150432230957474	10.032167864916383	0.11826436604109107	0.32619404595600004	27.1123214492	0.008339000000000136	62.46155107235456	62.422957154248245	59.801748049497	59.74147056543246	-0.7174700460883119	-0.8300523622294053	0.008339	-0.717847	0.034271503162448515	25039.885981901734
mp-1008223	CaSe	single	7.439485230769147	3.9792006781338123	3.460284552635335	0.301175952025	68.6599183215	1.3178779999999999	24.54837241866414	22.03095893938779	47.40266184909923	40.81836696533959	-43.20944481637209	-70.74343854704973	1.317878	-42.482682	12.813661589404209	72.5350622153762
mp-1008506	BaGaSiH	single	24.559526501695448	18.228388032210688	6.331138469484763	0.46344098522499994	79.9809816704	0.162606	34.786910301611485	34.36550858377493	47.373848004024346	46.46838514804198	-7.767500122253101	-10.813718009192922	0.162606	-7.755426	1.1853632161261691	509.5603705954485
mp-1008556	AlGaN2	single	11.305772059273494	5.189261297578154	6.11651076169534	0.250661436921	43.6980742036	0.6193119999999998	71.63352688708933	68.27336491219621	67.0689239048164	62.061906248764885	-60.28726354011668	-68.18362032940523	0.619312	-59.854204	2.345804436088243	476.0605582871789
mp-1008559	BP	single	9.504146889354223	9.326162586788502	0.17798430256571987	0.347400611649	46.1947697898	0.013762000000000014	73.0318094871598	72.95732594349252	66.16731601573791	66.05964321078783	-1.3841390340587323	-1.5498371885618976	0.013762	-1.384844	0.042456999176545454	18978.49001210454
mp-10086	YSF	multi	20.437154677233455	5.981005653242649	14.456149023990804	0.40758775747600007	94.4423122395	1.307941999999999	34.59146656021838	31.07920164902493	50.948774486890464	43.19667288889943	-60.41030334394805	-85.86802602525208	1.3079420000000002	-59.410185999999996	12.236993357813198	56.12361989166076
mp-10086	YSF	single	20.482315099537658	5.981005653242649	14.50130944629501	0.40758775747600007	94.4423122395	1.3079429999999999	34.576452030064615	31.05880303192177	50.89185864941235	43.12945068585044	-60.413824479956915	-85.89467516133612	1.307943	-59.410186	12.277398150474118	55.93891762841981
mp-1008680	TiGePt	multi	25.420335456614392	19.183229267187482	6.237106189426908	0.5737911001	51.8528951833	0.2010119999999999	23.168518717422124	22.822094705307904	43.955755979217564	43.03022363071721	-6.384194930395594	-10.521889047627697	0.20101200000000002	-6.3707329999999995	1.5744748722243578	309.85034787766153
