mp_id	formula	spgroup	groups	volume(Å^3)	band_mass(me)	eps_optic(ϵ0)	eps_total_single(ϵ0)	eps_total_multi(ϵ0)	eps_ionic_single(ϵ0)	eps_ionic_multi(ϵ0)	AHC_alpha	alpha	v_gs_single	v_gs_multi	w_gs_single	w_gs_multi	v_rt_single	v_rt_multi	w_rt_single	w_rt_multi	AHC_ZPR(meV)	energy_gs_single(meV)	energy_gs_multi(meV)	energy_rt_single(meV)	energy_rt_multi(meV)	imag_memory_single	imag_memory_multi	mobility_single(cm^2/V/s)	mobility_multi(cm^2/V/s)
mp-1008506	BaGaSiH	156	2-13-14-1	79.9809816704	0.43996689	18.228388032210688	24.588564146430606	24.025107664713943	6.3601761142199145	5.7967196325032555	0.15766300000000003	0.15766299999999994	35.36152134773709	36.00251481929493	34.94625308731368	35.631648248690965	47.5666426327628	53.844733626820066	46.68232568342927	53.03595754452438	-7.645155000000001	-7.660157929117482	-7.656921523594975	-10.397900042959522	-10.338344792789501	1.1408666301216446	0.9935681220197569	557.6820392217611	640.3595432117194
mp-1008556	AlGaN2	115	13-13-15	43.6980742036	3.896395697041	5.189261297578154	11.316909160422483	11.269968686028104	6.127647862844329	6.08070738844995	2.4438050000000002	2.4438049999999985	77.51936091441225	77.78582442502794	62.0456444395927	62.400358717041705	78.55424770293531	79.01925101193721	54.55256141316449	55.16354386108057	-236.177237	-244.40073190790687	-244.29230012351496	-278.5060260975666	-278.6121635257167	14.274140954482055	14.467254227110729	5.033018116666099	4.965835872927863
mp-1008559	BP	186	13-15	46.1947697898	0.413173841796	9.326162586788502	9.497224123626639	9.49721701655269	0.17106153683813663	0.1710544297641887	0.014437	0.014436999999999998	73.00402256469309	73.00886603095375	72.92590807358496	72.93075236019945	66.15171324907716	66.15534555358484	66.03876845982126	66.0424052165217	-1.452284	-1.4525440575681934	-1.452537034956019	-1.4272428452894081	-1.4272186436271825	0.04458519541552848	0.044577646046593936	15195.606437745944	15198.179862979363
mp-10086	YSF	129	3-16-17	94.4423122395	0.8282656282809999	5.981005653242649	18.599910428644534	18.56188976046491	12.618904775401885	12.58088410722226	1.7837929999999997	1.7837929999999986	35.40546290357955	35.41694807581536	30.39549561963642	30.415881580585832	52.939335064254976	52.99659287422752	41.91029828397516	41.9840180694328	-81.286616	-83.26612169648745	-83.25894543104447	-118.14831124741322	-118.10780777667259	18.633730372993494	18.561821737526525	18.137276906143068	18.207540851775654
mp-1008680	TiGePt	216	4-14-10	51.8528951833	10.740583862089002	19.183229267187482	25.4946776397882	25.483327964503296	6.311448372600715	6.300098697315813	0.87629	0.8762899999999995	23.717130056004677	23.735225406679877	22.127669333645358	22.149156507129106	45.868642136302036	45.91567135399556	41.65298760107568	41.70729449360448	-27.772584	-28.087505550997086	-28.085973635667703	-46.13166604885365	-46.092500243442856	7.804332870919867	7.77099859795254	3.3394723707639535	3.3537972843732833
mp-1009082	MgSnAs2	122	2-14-15	220.495975595	0.16956688622500002	15.706568409636358	19.49145658316648	19.396681993926837	3.7848881735301214	3.690113584290477	0.1091	0.10909999999999993	21.5685385848257	22.300250297941528	21.39356473430176	22.128319478576696	43.286233704977356	43.799109356445484	42.80162702886844	43.32569919707837	-3.232125	-3.236501032333487	-3.2362005987233973	-5.302349261602489	-5.219367219313015	0.8420172911920548	0.7968769657659207	1960.557005718453	2071.615782740017
mp-1009084	BeSnAs2	122	2-14-15	175.450951935	1.118790637441	14.133937144669183	16.291725949872443	16.194750967130865	2.1577888052032583	2.0608138224616814	0.21775000000000003	0.21774999999999997	20.600383019478603	20.892709834745023	20.265550780093708	20.5783921649499	43.32769396582109	44.89517041981845	42.37724322970272	43.990116010768034	-6.138589999999999	-6.155280837914992	-6.153078511390851	-10.500076420836397	-10.251555148167647	1.7056408414645947	1.5285692008487235	146.6915575210403	163.68451717267124
mp-1009085	BeSiP2	122	2-14-15	131.815571075	0.300695399449	9.725563218954239	11.094886367748183	11.077106827050711	1.3693231487939421	1.3515436080964733	0.10178500000000001	0.101785	46.289125552774365	46.98243621594209	45.93888160834622	46.63644402311804	51.84616415039078	53.01289713382066	51.202775953486245	52.37855672659831	-6.4729849999999995	-6.481161765273336	-6.480826896932191	-7.954432928904942	-7.948147786583188	0.6143653646851525	0.5926791119995368	1515.2630121316797	1570.7068027106875
mp-1009087	BeSiAs2	122	2-14-15	149.955768789	0.229473573156	10.975515075295128	12.090499085714153	12.069864770528142	1.1149840104190243	1.0943496952330132	0.065315	0.06531499999999997	37.55862696307007	38.49447110347413	37.37648983442791	38.31527745471519	48.11798356530928	49.327465640453944	47.743390521158936	48.96064920399923	-3.37458	-3.3773084201850265	-3.377141004253157	-4.36286918320784	-4.3385269633657515	0.4507259431360842	0.4245412902032144	2706.4268630709266	2873.3525537706137
mp-1009088	BeGeAs2	122	2-14-15	156.686712782	1.135441556041	13.20029090965433	14.442117528946902	14.39840243674917	1.241826619292574	1.1981115270948435	0.139706	0.13970599999999994	24.476330498372977	24.921193689482642	24.221788194000435	24.67866288114032	44.0927002282512	45.69280518327396	43.43289984027205	45.05944264123838	-4.691992	-4.700144399528731	-4.699235946232918	-7.359041536256976	-7.23743082935549	1.086738639504413	0.9875221123893158	226.85671340954633	249.64904886700967
