mp_id	formula	spgroup	groups	mode	eps_total(ϵ0)	eps_optic(ϵ0)	eps_ionic(ϵ0)	band_mass(me)	volume(Å^3)	alpha	v_gs	w_gs	v_rt	w_rt	energy_gs(meV)	energy_rt(meV)	AHC_alpha	AHC_ZPR(meV)	imag_memory	mobility(cm^2/V/s)
mp-22916	NaBr	225	1-17	single	9.151637532546456	2.9447480208974235	6.206889511649033	4.535630608804	52.089147312899996	11.389852	101.5254071509173	7.005440662235374	133.85455559569675	17.381332471279055	-419.71020204695606	-648.6129701007259	11.389852	-287.405052	1409.7041479607103	0.04378001183632095
mp-22919	AgI	225	11-17	single	23.71069492297	8.301917472652953	15.408777450317046	3.3878157224040004	53.7990556537	4.810546999999996	11.656857286036054	6.452141012636684	51.55234813374901	34.51339004296989	-63.591582131390865	-158.82490799509108	4.810547	-58.713364	59.000568841443894	1.4004433696037313
mp-22922	AgCl	225	11-17	single	16.976200667978368	5.517742314782853	11.458458353195512	4.023173466225	40.420211866699994	6.156947999999998	25.1077768657965	9.559461162719819	64.68010056156058	29.86850165077097	-149.5431410615783	-283.7209547774085	6.156948	-133.037016	163.13225373921958	0.42651365047031475
mp-22925	AgI	216	11-17	single	7.819821454269647	5.681014814013003	2.1388066402566435	1.588373734249	67.3786875326	1.8205149999999999	11.762476533181403	10.061130874635268	44.9477582643425	38.65681068335661	-28.200871444782628	-65.14715245385774	1.820515	-27.515451	15.435545229581178	11.417390581435166
mp-22934	K2PtCl4	123	1-10-17	multi	7.291708861141006	2.819023718507695	4.4726851426333125	5.090262457921001	199.735477663	13.93292599999999	103.95332238439435	4.359228416943708	134.12121733889302	16.60036810051901	-399.1914126094597	-646.7861608982552	13.932926	-242.28795499999998	2175.6092825715064	0.025276704490631078
mp-22934	K2PtCl4	123	1-10-17	single	7.4652316210241665	2.819023718507695	4.646207902516472	5.090262457921001	199.735477663	13.932923999999991	108.14926949370363	4.5854833989732615	137.25322773642574	16.01209798280472	-407.83359998001197	-658.1796895909607	13.932924	-242.287954	2320.474074768492	0.023698706018993255
mp-22935	CsBrF	139	1-17-17	multi	12.492807773139914	2.9078801518765536	9.58492762126336	4.4421126474240005	179.050193219	13.025388999999993	132.3043550274002	6.520154956292142	163.82466409911228	15.560866130742234	-520.1936278689404	-768.0441008666124	13.025389	-330.73091700000003	2016.638353270026	0.031248123300739797
mp-22935	CsBrF	139	1-17-17	single	13.001567564291305	2.9078801518765536	10.09368741241475	4.4421126474240005	179.050193219	13.025388999999995	136.7071786577728	6.791971195216137	167.18167558410536	15.1034801586712	-529.6785362449905	-779.5457479282295	13.025389	-330.730919	2040.2507119112956	0.030886480542849287
mp-22936	Ca2NCl	166	2-15-17	multi	17.943339613760415	4.742788265414452	13.200551348345957	3.8720125140490005	73.7308349817	5.023393999999998	50.298175563925916	27.574068723310216	79.73889241603877	34.000069510037406	-282.467287768468	-384.0262818236841	5.023394	-261.038186	116.13961771263163	0.6224785423693914
mp-22936	Ca2NCl	166	2-15-17	single	18.840431140687656	4.742788265414452	14.097642875273205	3.8720125140490005	73.7308349817	5.023393999999999	50.82991848077452	26.816164402100245	79.9732675388304	32.42490725780239	-284.1805046167475	-387.7386400653606	5.023394	-261.038186	125.25150783037715	0.5771940090573807
mp-22937	Na4I2O	139	1-17-16	multi	10.579249369315516	3.565998492321385	7.013250876994129	2.912353859843999	170.036261937	7.431601999999997	36.807748271997156	9.309839054274024	78.91983943480665	27.423020865548466	-226.78445202440358	-384.3990989510806	7.431602	-196.866251	281.79515811000533	0.3410859742020158
mp-22937	Na4I2O	139	1-17-16	single	11.32829242723367	3.565998492321385	7.762293934912284	2.912353859843999	170.036261937	7.431602999999998	41.66644970380016	9.64646037801456	80.7924149392191	25.637111050928826	-232.3563398118936	-395.9932974826377	7.431603	-196.866249	340.48164292385235	0.28229532495194865
mp-22951	BaIF	129	2-17-17	multi	12.091374927868598	3.877549833933711	8.213825093934885	1.4761350913690001	167.900043227	5.220466999999999	23.20438156442994	12.399536119112769	60.73879915622621	32.67427858295532	-135.081891769592	-244.82289356852468	5.220466999999999	-124.73730800000001	101.9130593698064	1.8607395390436687
mp-22951	BaIF	129	2-17-17	single	12.848558147099993	3.877549833933711	8.971008313166283	1.4761350913690001	167.900043227	5.220467000000001	23.94232760143721	12.042169172535404	61.06408430997351	31.72338388865515	-136.47175728486746	-250.8765143485616	5.220467	-124.73731	115.4349639003817	1.642774881256549
mp-22956	K2PdCl4	123	1-10-17	multi	7.335158087792925	2.8094129739349665	4.525745113857959	4.321068523524	199.84562608	12.613865999999996	88.49153469867947	4.713740111873318	120.18532027627172	18.094503138150696	-354.8362675323925	-589.0928974329281	12.613865999999998	-230.939401	1559.3119604190697	0.04154486635798939
mp-22956	K2PdCl4	123	1-10-17	single	7.4990442238138675	2.8094129739349665	4.689631249878902	4.321068523524	199.84562608	12.613864999999995	91.98337989150065	4.935400769571537	122.61320426534141	17.49622686215428	-361.4654425901829	-598.2418895472842	12.613865	-230.939403	1666.1282802595986	0.038881404135299315
