mp_id	formula	spgroup	groups	eps_total(ϵ0)	eps_optic(ϵ0)	eps_ionic(ϵ0)	omega_LO(THz2π)	band_mass(me)	volume(Å^3)	alpha	v_gs	w_gs	v_rt	w_rt	energy_gs(meV)	energy_rt(meV)	ZPR(meV)	imag_memory	mobility(cm^2/V/s)
mp-1000	BaTe	225	2-16	12.773499999999999	6.311599999999999	6.461899999999998	4.078059756238319	0.9341222500000002	84.0743546603	2.2002571264441695	3.276762868564677	2.694354702655745	11.353673053647116	9.338212191265754	-38.253075776242014	-83.78939783429227	-37.1089	20.87379909540151	14.356094678289189
mp-1002124	HfC	216	4-14	32.9656	24.1377	8.827900000000005	19.320870499202275	1.1498272900000002	31.233244885599998	0.15523548888128616	3.0156724912698283	2.980806183912491	2.9973811733506777	2.940654777913878	-12.428009169968153	-14.448799419194986	-12.4035	0.7340970004554888	331.6312655468288
mp-1002164	GeC	216	14-14	11.169499999999998	8.111	3.058499999999998	23.29836608286228	2.7629088399999997	23.8031409075	0.6668196879816108	3.0706763186572936	2.9153140658904437	2.882825025350918	2.6507714735208077	-64.79894134182013	-73.14120272742399	-64.2508	2.566585852868449	39.47473086554587
mp-10044	BAs	216	13-15	10.128899999999998	10.0322	0.0966999999999998	20.815453829627387	1.3218100899999998	27.1123214492	0.013754573103662144	3.001371028864114	2.9983115954227935	2.874044165160313	2.869265496275739	-1.1842746385062186	-1.1708233088259556	-1.1849	0.056582913464708035	3742.718478914649
mp-1008223	CaSe	216	2-16	6.394000000000001	3.9792	2.4148000000000005	7.7945575811076795	7.398400000000001	68.6599183215	5.303632875885659	4.189056061067487	2.062794702628901	8.69966808351399	3.9532614061051676	-187.45452242003242	-304.3192677893758	-170.9658	141.68067096393034	0.2670503286569856
mp-1008506	BaGaSiH	156	2-13-14-1	23.3192	17.9636	5.355600000000001	18.32344993684225	0.43996689	79.9809816704	0.11363052194656081	3.0114300698365217	2.9859816390124014	3.065427288030856	3.0228771738317475	-8.62303773466198	-10.104685349629015	-8.6109	0.5714992223817492	1113.283804857572
mp-1008556	AlGaN2	115	13-13-15	9.319	5.1893	4.1297	23.816057579592663	3.8962812100000006	43.6980742036	1.981153573650103	3.242492965211114	2.7285618928797657	3.18873356443331	2.4072909960809707	-200.47792471709633	-227.02954347630507	-195.1401	9.889433012224096	7.264736099315096
mp-1008559	BP	186	13-15	9.465699999999998	9.3251	0.140599999999999	24.304177067892343	0.41319184000000003	46.1947697898	0.011912475272114531	3.0011872593239803	2.9985378964825804	2.7199883688484374	2.7161564177308395	-1.1975467417905898	-1.1418826450299329	-1.1975	0.03682328737519647	18397.85688960256
mp-10086	YSF	129	3-16-17	15.627399999999998	5.923900000000001	9.703499999999998	11.142336226451512	0.82828201	94.4423122395	1.6391642182336217	3.1926663576798986	2.7800467839009078	4.70882681822967	3.805143308156382	-77.20961819207119	-109.04238204855467	-75.5328	16.506135386017245	20.474716546840575
mp-1008680	TiGePt	216	4-14-10	23.997	19.183199999999996	4.8138000000000005	7.738145892089839	10.74069529	51.8528951833	0.7066352451818035	3.075192874245009	2.910065982629506	5.869638969020783	5.4329970057071595	-22.818863641865928	-37.28157324144673	-22.6139	6.097029389812228	4.274554368692062
mp-1008786	MgTe	225	2-16	23.206199999999995	9.1364	14.069799999999997	7.446826548203447	0.63441225	51.5450493454	1.1109549965567547	3.1232038883047086	2.855420328154618	6.2307266354799475	5.512402926943505	-34.71321619852781	-57.782922455636296	-34.2139	10.322386255023577	42.74544705288843
mp-1009082	MgSnAs2	122	2-14-15	18.115599999999997	15.619	2.4966000000000013	7.848575460775856	0.16957924	220.495975595	0.07439118199979039	3.0074703052193104	2.9908546829340197	5.567730229889981	5.5238564772468814	-2.4168969960579445	-3.745685765228201	-2.4146	0.5721850267319134	2884.910580183597
mp-1009084	BeSnAs2	122	2-14-15	16.0096	14.1121	1.8974999999999993	8.751065765491632	1.11872929	175.450951935	0.17223809211510516	3.0174170233977287	2.9786862142220607	5.108848230826489	5.012367220413739	-6.2469287289063224	-9.528035329125304	-6.2336	1.3413309133312885	186.54370031748962
mp-1009085	BeSiP2	122	2-14-15	10.8352	9.7255	1.1097000000000004	16.087051686837906	0.30074256	131.815571075	0.08258543312095544	3.008287649787188	2.989831462854038	3.279207710437487	3.2461303566575883	-5.500092603643593	-6.623163248982874	-5.494	0.4765476913888887	1953.171000631763
mp-1009087	BeSiAs2	122	2-14-15	11.8941	10.975499999999998	0.9186000000000005	13.232615386556661	0.22944099999999998	149.955768789	0.05314601766775959	3.0053328455115276	2.9934796930868597	3.6985795835141406	3.6749575715413827	-2.9103665555930696	-3.6512747768084357	-2.9087	0.3543852579205142	3442.6657235039083
mp-1009088	BeGeAs2	122	2-14-15	14.2945	13.198999999999998	1.0955	9.744641724956745	1.1355033600000002	156.686712782	0.11368447884442812	3.011438006107639	2.985977383521632	4.661226381141132	4.601323473526679	-4.588020850847396	-6.62969004533822	-4.5815	0.8626570708498328	285.7688714361375
mp-1009127	MgO	221	2-16	83.1972	3.7494	79.4478	17.943390387771338	1.5635001599999998	18.2566544807	4.312167476614243	3.7622285113047242	2.3009911494038295	4.796613544691592	2.184097473683525	-342.73125717211934	-419.7566610342932	-319.9856	65.18187892827932	2.7467347658605266
mp-1009129	MgO	187	2-16	13.3201	3.4585999999999997	9.861500000000001	19.445783823448384	2.5612801600000004	19.4659993157	4.4559313380681935	3.811892127787888	2.2689230611442266	4.740946913139386	2.062521871842011	-385.00826510258867	-462.596951048638	-358.3564	63.034105585851506	1.7338393273248915
